item_id,item_name,category_id,category_name,price,cost_price,demand,order_frequency,revenue,contribution_margin,profit_margin_pct,discount,promo_share_pct,rating,rating_trend,repeat_purchase,avg_empirical_elasticity,max_demand_drop,significant_events_count,price_sensitivity_tier,pricing_recommendation
ITEM-002,Classic Buffalo Chicken Wings,CAT-01,Appetizers & Small Plates,14.5,11.2,16816,10892,243832.0,55492.8,22.76,7.25,100.0,3.52,0.084,0.1018,0.572,8.99,1,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-022,Black Angus Bacon Cheddar,CAT-02,Artisanal Burgers & Handhelds,17.5,8.0,13486,8812,236005.0,128117.0,54.29,7.12,100.0,3.63,0.024,0.0855,0.663,5.24,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-042,Spicy Diavola Pizza,CAT-03,Wood-Fired Pizzas & Pastas,19.0,6.9,11881,7831,225739.0,143760.1,63.68,7.29,100.0,3.58,0.242,0.0743,1.18,8.7,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-135,Red Sangria Pitcher (House Wine),CAT-09,Signature Cocktails & Mocktails,29.0,6.2,7727,5220,224083.0,176175.6,78.62,7.26,100.0,3.46,-0.245,0.05,0.475,2.37,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-037,Spaghetti All'Amatriciana,CAT-03,Wood-Fired Pizzas & Pastas,17.5,5.5,12395,8125,216912.5,148740.0,68.57,7.2,100.0,3.6,-0.08,0.079,3.119,15.68,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-076,DineIQ Signature Caesar Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,12.99,8.8,16339,10665,212243.61,68460.41,32.26,7.36,100.0,3.63,-0.02,0.1018,2.321,6.97,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-041,Calabrian Sausage Rigatoni,CAT-03,Wood-Fired Pizzas & Pastas,20.0,6.8,10528,6944,210560.0,138969.6,66.0,7.37,100.0,3.55,-0.202,0.0635,1.556,7.78,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-044,Lasagna Bolognese Al Forno,CAT-03,Wood-Fired Pizzas & Pastas,21.0,7.9,9867,6600,207207.0,129257.7,62.38,7.01,100.0,3.58,0.092,0.0618,3.192,15.96,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-070,Garlic Butter Tiger Prawns Skewer,CAT-05,Chef Specials & Seafood,27.0,11.5,7669,5175,207063.0,118869.5,57.41,7.17,100.0,3.52,-0.067,0.0511,1.097,8.77,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-122,Signature Smoked Old Fashioned,CAT-09,Signature Cocktails & Mocktails,16.0,3.2,12782,8362,204512.0,163609.6,80.0,7.19,100.0,3.63,-0.103,0.0802,0.986,4.93,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-033,Quattro Formaggi Bianca,CAT-03,Wood-Fired Pizzas & Pastas,18.0,7.5,11322,7518,203796.0,118881.0,58.33,7.14,100.0,3.58,0.141,0.0787,0.747,3.74,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-126,Espresso Martini Vanilla Foam,CAT-09,Signature Cocktails & Mocktails,15.0,2.9,13514,8779,202710.0,163519.4,80.67,7.42,100.0,3.63,-0.078,0.0794,2.021,10.1,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-020,Spicy Nashville Hot Chicken Bun,CAT-02,Artisanal Burgers & Handhelds,15.5,7.5,12924,8470,200322.0,103392.0,51.61,7.17,100.0,3.58,-0.209,0.0789,1.757,8.84,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-067,Seafood Paella Valenciana,CAT-05,Chef Specials & Seafood,35.0,16.0,5705,3833,199675.0,108395.0,54.29,6.92,100.0,3.74,0.203,0.0366,0.451,2.26,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-132,Aperol Spritz Prosecco Orange,CAT-09,Signature Cocktails & Mocktails,13.99,2.6,14019,9245,196125.81,159676.41,81.42,7.01,100.0,3.57,0.002,0.0896,0.831,4.16,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-091,Beyond Meat Gourmet Burger,CAT-07,Vegan & Plant-Based Creations,16.99,11.5,11291,7464,191834.09,61987.59,32.31,7.22,100.0,3.52,0.015,0.0743,2.172,6.52,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-085,Blackened Salmon Cobb Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,21.0,9.8,8918,5898,187278.0,99881.6,53.33,7.21,100.0,3.66,-0.232,0.0566,3.623,18.12,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-106,Molten Chocolate Lava Cake,CAT-08,Handcrafted Desserts & Pastries,10.99,7.8,17034,10982,187203.66,54338.46,29.03,7.22,100.0,3.6,-0.053,0.1016,2.651,7.96,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-059,Bistro Hanger Steak Shallot Jus,CAT-04,Prime Steaks & Butcher Cuts,28.0,13.5,6586,4442,184408.0,95497.0,51.79,7.38,100.0,3.64,0.127,0.0455,1.198,4.19,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-040,Truffled Wild Mushroom Gnocchi,CAT-03,Wood-Fired Pizzas & Pastas,22.0,7.8,8349,5574,183678.0,118555.8,64.55,7.12,100.0,3.59,-0.018,0.048,2.883,14.42,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-049,Colorado Rosemary Lamb Chops,CAT-04,Prime Steaks & Butcher Cuts,44.0,19.5,4163,2791,183172.0,101993.5,55.68,6.75,100.0,3.64,-0.286,0.0264,2.067,10.33,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-086,Sesame Ahi Tuna Poke Bowl,CAT-06,Farm-Fresh Salads & Grain Bowls,19.5,10.2,9338,6198,182091.0,86843.4,47.69,7.25,100.0,3.59,-0.016,0.0589,1.526,7.67,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-089,Southwest Chipotle Chicken Bowl,CAT-06,Farm-Fresh Salads & Grain Bowls,15.5,5.8,11604,7664,179862.0,112558.8,62.58,7.26,100.0,3.69,0.029,0.0743,1.296,6.52,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-092,Truffle Wild Mushroom Risotto,CAT-07,Vegan & Plant-Based Creations,23.0,7.2,7698,5078,177054.0,121628.4,68.7,7.13,100.0,3.56,-0.04,0.0478,0.453,2.26,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-123,Spicy Passionfruit Mezcalita,CAT-09,Signature Cocktails & Mocktails,15.5,3.1,11282,7492,174871.0,139896.8,80.0,7.09,100.0,3.63,-0.086,0.0681,0.802,6.41,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-130,Classic Moscow Mule Copper Mug,CAT-09,Signature Cocktails & Mocktails,13.5,2.5,12499,8257,168736.5,137489.0,81.48,7.33,100.0,3.71,0.114,0.0811,1.536,5.45,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-025,Philly Ribeye Cheesesteak,CAT-02,Artisanal Burgers & Handhelds,18.0,9.2,9285,6200,167130.0,81708.0,48.89,7.46,100.0,3.69,-0.02,0.0629,3.969,19.84,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-007,Crispy Calamari Fritti,CAT-01,Appetizers & Small Plates,16.5,7.5,10374,6955,165880.26,88075.26,53.1,7.31,100.0,3.67,0.437,0.0648,1.472,0.58,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-065,Jumbo Lump Crab Cakes (2pcs),CAT-05,Chef Specials & Seafood,32.0,15.0,5182,3503,165824.0,88094.0,53.13,7.59,100.0,3.43,-0.687,0.0341,0.713,3.56,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-034,Prosciutto e Rucola Pizza,CAT-03,Wood-Fired Pizzas & Pastas,21.0,9.8,7882,5223,165522.0,88278.4,53.33,6.99,100.0,3.69,0.062,0.0525,0.252,1.26,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-019,BBQ Pulled Pork Brioche,CAT-02,Artisanal Burgers & Handhelds,15.0,7.2,10995,7285,164925.0,85761.0,52.0,7.1,100.0,3.58,-0.358,0.0725,1.776,8.88,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-077,Mediterranean Quinoa Crunch Bowl,CAT-06,Farm-Fresh Salads & Grain Bowls,14.5,5.2,11327,7519,164241.5,105341.1,64.14,7.0,100.0,3.66,-0.283,0.0706,1.538,7.75,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-009,Truffle Whipped Burrata,CAT-01,Appetizers & Small Plates,17.16,7.8,9274,6180,162295.0,89957.8,55.43,7.27,100.0,3.64,-0.22,0.0601,0.786,3.95,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-001,Crispy Parmesan Truffle Fries,CAT-01,Appetizers & Small Plates,8.99,6.75,18011,11566,161918.89,40344.64,24.92,7.13,100.0,3.66,0.133,0.1036,2.028,9.38,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-124,Elderflower French 75 Champagne,CAT-09,Signature Cocktails & Mocktails,17.0,3.6,9482,6195,161194.0,127058.8,78.82,7.13,100.0,3.66,0.024,0.0588,2.311,11.55,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-013,Loaded Queso Nachos,CAT-01,Appetizers & Small Plates,22.5,15.0,12296,8147,159725.04,-24714.96,-15.47,7.13,100.0,3.47,-0.067,0.0736,1.144,8.55,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-053,Smoked Bone-in Kurobuta Pork Chop,CAT-04,Prime Steaks & Butcher Cuts,34.0,13.8,4575,3104,155550.0,92415.0,59.41,7.1,100.0,3.7,0.094,0.0273,0.569,0.2,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-081,Thai Crunch Peanut Chicken Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,16.0,6.2,9609,6406,153744.0,94168.2,61.25,7.27,100.0,3.61,0.177,0.062,1.817,10.73,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-066,Seared Diver Scallops Sweet Corn,CAT-05,Chef Specials & Seafood,36.0,16.8,4249,2830,152964.0,81580.8,53.33,7.81,100.0,3.7,0.017,0.0334,2.864,14.32,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-069,Grilled Yellowfin Ahi Tuna Steak,CAT-05,Chef Specials & Seafood,33.0,14.8,4608,3131,152064.0,83865.6,55.15,7.81,100.0,3.69,-0.147,0.0246,3.388,16.94,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-108,New York Style Cheesecake,CAT-08,Handcrafted Desserts & Pastries,9.99,6.9,15056,9839,150409.44,46523.04,30.93,7.31,100.0,3.65,0.002,0.0929,2.072,6.22,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-101,Thai Coconut Green Curry Tofu,CAT-07,Vegan & Plant-Based Creations,18.0,5.5,8270,5569,148860.0,103375.0,69.44,7.03,100.0,3.73,-0.094,0.0609,0.859,4.3,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-100,Crispy Falafel Mezze Platter,CAT-07,Vegan & Plant-Based Creations,16.0,5.0,9285,6216,148560.0,102135.0,68.75,6.86,100.0,3.61,-0.037,0.064,1.742,8.71,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-129,Smoked Rosemary Paloma Tequila,CAT-09,Signature Cocktails & Mocktails,14.5,2.8,10197,6857,147856.5,119304.9,80.69,7.23,100.0,3.51,0.154,0.0631,2.122,10.68,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-036,Slow-Braised Wild Boar Pappardelle,CAT-03,Wood-Fired Pizzas & Pastas,26.0,9.5,5630,3795,146380.0,92895.0,63.46,6.93,100.0,3.75,0.026,0.0328,3.572,17.86,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-061,Pan-Seared Chilean Sea Bass,CAT-05,Chef Specials & Seafood,46.0,18.5,3167,2132,145682.0,87092.5,59.78,7.61,100.0,3.58,-0.021,0.0298,1.666,11.66,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-043,Burrata Caprese Pizza,CAT-03,Wood-Fired Pizzas & Pastas,20.5,8.5,7052,4782,144566.0,84624.0,58.54,7.22,100.0,3.65,0.097,0.0451,2.687,13.5,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-083,Classic Greek Village Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,13.5,4.8,10644,7085,143694.0,92602.8,64.44,7.2,100.0,3.56,0.065,0.0662,0.924,4.66,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-011,Spicy Tuna Crispy Rice,CAT-01,Appetizers & Small Plates,21.56,9.8,7852,5303,141336.0,64386.4,45.56,7.39,100.0,3.76,-0.11,0.0572,0.774,3.87,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-095,Spicy Tofu Peanut Noodle Bowl,CAT-07,Vegan & Plant-Based Creations,16.5,4.9,8564,5765,141306.0,99342.4,70.3,7.14,100.0,3.59,-0.102,0.0536,1.373,6.82,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-003,Golden Mozzarella Sticks,CAT-01,Appetizers & Small Plates,9.5,7.1,14756,9609,140182.0,35414.4,25.26,7.08,100.0,3.63,0.127,0.0885,1.395,6.86,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-039,Handcrafted Lobster Ravioli,CAT-03,Wood-Fired Pizzas & Pastas,29.5,11.2,4729,3233,139505.5,86540.7,62.03,6.79,100.0,3.66,-0.074,0.0295,-0.35,-1.76,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-131,Yuzu Lavender Gin Tonic,CAT-09,Signature Cocktails & Mocktails,14.0,2.7,9851,6521,137914.0,111316.3,80.71,7.17,100.0,3.55,0.137,0.0579,3.783,18.91,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-026,Classic BLT Sourdough,CAT-02,Artisanal Burgers & Handhelds,11.99,4.8,11174,7390,133976.26,80341.06,59.97,7.5,100.0,3.7,-0.025,0.0741,0.869,4.35,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-098,Avocado Supergreen Toast Sourdough,CAT-07,Vegan & Plant-Based Creations,13.5,6.8,9887,6507,133474.5,66242.9,49.63,7.44,100.0,3.73,0.061,0.0599,0.2,1.01,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-094,Creamy Cashew Alfredo Tagliatelle,CAT-07,Vegan & Plant-Based Creations,19.0,5.8,7019,4814,133361.0,92650.8,69.47,7.47,100.0,3.63,0.126,0.0434,2.856,14.28,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-062,Crispy Skin Mediterranean Branzino,CAT-05,Chef Specials & Seafood,38.0,16.0,3489,2379,132582.0,76758.0,57.89,7.43,100.0,3.73,0.63,0.0214,-2.152,-10.76,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-021,California Turkey Avocado Club,CAT-02,Artisanal Burgers & Handhelds,16.0,8.9,8267,5547,132272.0,58695.7,44.38,7.14,100.0,3.74,-0.059,0.052,0.808,4.04,0,Moderately Price Sensitive,BALANCED: Implement modest 3-5% price adjustments strictly pegged to ingredient inflation.
ITEM-056,Pan-Roasted Duck Breast Plum Glaze,CAT-04,Prime Steaks & Butcher Cuts,35.0,14.0,3768,2579,131880.0,79128.0,60.0,7.32,100.0,3.66,-0.115,0.0265,2.91,14.55,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-111,Traditional Italian Tiramisu,CAT-08,Handcrafted Desserts & Pastries,10.5,3.2,12406,8143,130263.0,90563.8,69.52,7.23,100.0,3.55,0.051,0.0799,1.164,5.88,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-023,Smoked Brisket Panini,CAT-02,Artisanal Burgers & Handhelds,17.0,8.2,7650,5138,130050.0,67320.0,51.76,6.99,100.0,3.59,-0.033,0.0506,3.806,19.03,1,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-097,Jackfruit Smoky Carnitas Tacos,CAT-07,Vegan & Plant-Based Creations,15.5,5.1,8319,5542,128944.5,86517.6,67.1,7.58,100.0,3.82,0.089,0.0545,0.48,-5.69,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-071,Steamed Blue Mussels White Wine,CAT-05,Chef Specials & Seafood,22.0,9.5,5842,3888,128524.0,73025.0,56.82,7.53,100.0,3.65,-0.157,0.0366,2.725,13.63,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-012,Heirloom Tomato Bruschetta,CAT-01,Appetizers & Small Plates,22.5,15.0,11145,7394,128167.5,-39007.5,-30.43,7.29,100.0,3.63,-0.013,0.069,2.015,10.16,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-093,Crispy Cauliflower Buffalo Bites,CAT-07,Vegan & Plant-Based Creations,12.0,4.2,10379,6853,124548.0,80956.2,65.0,7.08,100.0,3.53,-0.158,0.0623,2.268,11.34,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-047,Dry-Aged Tomahawk Ribeye (36oz),CAT-04,Prime Steaks & Butcher Cuts,125.0,38.0,987,677,123375.0,85869.0,69.6,7.73,100.0,3.7,1.197,0.011,-1.623,-11.36,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-102,Mushroom & Walnut Bolognese,CAT-07,Vegan & Plant-Based Creations,18.5,5.6,6663,4487,123265.5,85952.7,69.73,7.27,100.0,3.55,0.136,0.0405,-0.117,-0.59,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
ITEM-064,Butter Poached Maine Lobster Tail,CAT-05,Chef Specials & Seafood,52.0,23.5,2354,1608,122408.0,67089.0,54.81,7.14,100.0,3.58,0.594,0.0151,3.328,16.64,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-112,Salted Caramel Creme Brulee,CAT-08,Handcrafted Desserts & Pastries,11.0,3.1,11093,7279,122023.0,87634.7,71.82,6.99,100.0,3.55,0.083,0.0676,1.795,8.97,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-121,DineIQ House Draft Lager (Pint),CAT-09,Signature Cocktails & Mocktails,6.5,4.8,18672,12038,121368.0,31742.4,26.15,7.18,100.0,3.68,0.024,0.1077,1.883,5.79,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-082,Wild Rice & Avocado Harvest Bowl,CAT-06,Farm-Fresh Salads & Grain Bowls,15.5,7.5,7758,5157,120249.0,62064.0,51.61,7.03,100.0,3.6,0.173,0.0494,2.579,12.98,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-088,Simple Garden House Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,8.99,3.2,13341,8759,119935.59,77244.39,64.4,7.35,100.0,3.6,-0.008,0.0826,1.121,5.61,0,Highly Price Sensitive,ELASTIC: Avoid unbundled price increases; utilize bundle meals or promotional framing to drive volume.
ITEM-027,Chipotle Fish Tacos (3pcs),CAT-02,Artisanal Burgers & Handhelds,16.5,8.7,7101,4760,117166.5,55387.8,47.27,6.99,100.0,3.56,0.179,0.0467,0.108,0.54,0,Low Price Sensitivity,INELASTIC: Prime margin harvesting candidate; strong brand loyalty permits 8-12% premium pricing.
