order_date,restaurant_name,actual_demand,predicted_demand,forecast_error,granularity
2025-12-03,DineIQ San Francisco Embarcadero,249.0,210.96,38.04,Restaurant Locations
2025-12-03,DineIQ Santa Monica Promenade,207.0,215.98,-8.98,Restaurant Locations
2025-12-03,DineIQ Seattle Pike Place,206.0,178.87,27.13,Restaurant Locations
2025-12-03,DineIQ Silicon Valley Hub,187.0,169.98,17.02,Restaurant Locations
2025-12-03,DineIQ West Loop Bistro,165.0,157.23,7.77,Restaurant Locations
2025-12-04,DineIQ Atlanta Midtown,236.0,174.33,61.67,Restaurant Locations
2025-12-04,DineIQ Austin Domain Drive-Thru,113.0,106.4,6.6,Restaurant Locations
2025-12-04,DineIQ Austin Downtown,222.0,186.52,35.48,Restaurant Locations
2025-12-04,DineIQ Bellevue Tech Plaza,134.0,193.64,-59.64,Restaurant Locations
2025-12-04,DineIQ Boston Back Bay,151.0,162.29,-11.29,Restaurant Locations
2025-12-04,DineIQ Brooklyn Heights,152.0,158.46,-6.46,Restaurant Locations
2025-12-04,DineIQ Chicago Magnificent Mile,131.0,295.1,-164.1,Restaurant Locations
2025-12-04,DineIQ Dallas Arts District,140.0,195.25,-55.25,Restaurant Locations
2025-12-04,DineIQ Denver LoDo,133.0,186.12,-53.12,Restaurant Locations
2025-12-04,DineIQ Financial Center,277.0,227.03,49.97,Restaurant Locations
2025-12-04,DineIQ Flagship Downtown,264.0,282.71,-18.71,Restaurant Locations
2025-12-04,DineIQ Houston Galleria,280.0,202.88,77.12,Restaurant Locations
2025-12-04,DineIQ Los Angeles Beverly,235.0,276.41,-41.41,Restaurant Locations
2025-12-04,DineIQ Miami South Beach,206.0,249.41,-43.41,Restaurant Locations
2025-12-04,DineIQ Orlando Theme Park Outpost,224.0,252.7,-28.7,Restaurant Locations
2025-12-04,DineIQ San Francisco Embarcadero,247.0,224.79,22.21,Restaurant Locations
2025-12-04,DineIQ Santa Monica Promenade,179.0,234.3,-55.3,Restaurant Locations
2025-12-04,DineIQ Seattle Pike Place,121.0,189.15,-68.15,Restaurant Locations
2025-12-04,DineIQ Silicon Valley Hub,198.0,204.39,-6.39,Restaurant Locations
2025-12-04,DineIQ West Loop Bistro,137.0,183.29,-46.29,Restaurant Locations
2025-12-05,DineIQ Atlanta Midtown,118.0,230.25,-112.25,Restaurant Locations
2025-12-05,DineIQ Austin Domain Drive-Thru,116.0,139.69,-23.69,Restaurant Locations
2025-12-05,DineIQ Austin Downtown,262.0,286.37,-24.37,Restaurant Locations
2025-12-05,DineIQ Bellevue Tech Plaza,240.0,264.34,-24.34,Restaurant Locations
2025-12-05,DineIQ Boston Back Bay,229.0,237.33,-8.33,Restaurant Locations
2025-12-05,DineIQ Brooklyn Heights,282.0,245.05,36.95,Restaurant Locations
2025-12-05,DineIQ Chicago Magnificent Mile,458.0,392.86,65.14,Restaurant Locations
2025-12-05,DineIQ Dallas Arts District,345.0,266.31,78.69,Restaurant Locations
2025-12-05,DineIQ Denver LoDo,234.0,274.77,-40.77,Restaurant Locations
2025-12-05,DineIQ Financial Center,337.0,341.68,-4.68,Restaurant Locations
2025-12-05,DineIQ Flagship Downtown,463.0,447.15,15.85,Restaurant Locations
2025-12-05,DineIQ Houston Galleria,79.0,282.14,-203.14,Restaurant Locations
2025-12-05,DineIQ Los Angeles Beverly,438.0,417.97,20.03,Restaurant Locations
2025-12-05,DineIQ Miami South Beach,306.0,379.61,-73.61,Restaurant Locations
2025-12-05,DineIQ Orlando Theme Park Outpost,234.0,358.85,-124.85,Restaurant Locations
2025-12-05,DineIQ San Francisco Embarcadero,550.0,376.33,173.67,Restaurant Locations
2025-12-05,DineIQ Santa Monica Promenade,341.0,387.85,-46.85,Restaurant Locations
2025-12-05,DineIQ Seattle Pike Place,239.0,296.33,-57.33,Restaurant Locations
2025-12-05,DineIQ Silicon Valley Hub,347.0,276.62,70.38,Restaurant Locations
2025-12-05,DineIQ West Loop Bistro,134.0,271.78,-137.78,Restaurant Locations
2025-12-06,DineIQ Atlanta Midtown,221.0,253.47,-32.47,Restaurant Locations
2025-12-06,DineIQ Austin Domain Drive-Thru,92.0,191.28,-99.28,Restaurant Locations
2025-12-06,DineIQ Austin Downtown,110.0,251.35,-141.35,Restaurant Locations
2025-12-06,DineIQ Bellevue Tech Plaza,222.0,243.83,-21.83,Restaurant Locations
2025-12-06,DineIQ Boston Back Bay,165.0,234.58,-69.58,Restaurant Locations
2025-12-06,DineIQ Brooklyn Heights,221.0,221.25,-0.25,Restaurant Locations
2025-12-06,DineIQ Chicago Magnificent Mile,435.0,383.62,51.38,Restaurant Locations
2025-12-06,DineIQ Dallas Arts District,267.0,255.37,11.63,Restaurant Locations
2025-12-06,DineIQ Denver LoDo,205.0,256.88,-51.88,Restaurant Locations
2025-12-06,DineIQ Financial Center,331.0,338.01,-7.01,Restaurant Locations
2025-12-06,DineIQ Flagship Downtown,329.0,435.58,-106.58,Restaurant Locations
2025-12-06,DineIQ Houston Galleria,224.0,289.39,-65.39,Restaurant Locations
2025-12-06,DineIQ Los Angeles Beverly,343.0,421.5,-78.5,Restaurant Locations
2025-12-06,DineIQ Miami South Beach,364.0,377.98,-13.98,Restaurant Locations
2025-12-06,DineIQ Orlando Theme Park Outpost,388.0,380.54,7.46,Restaurant Locations
2025-12-06,DineIQ San Francisco Embarcadero,391.0,338.83,52.17,Restaurant Locations
2025-12-06,DineIQ Santa Monica Promenade,426.0,374.13,51.87,Restaurant Locations
2025-12-06,DineIQ Seattle Pike Place,216.0,265.64,-49.64,Restaurant Locations
2025-12-06,DineIQ Silicon Valley Hub,320.0,263.75,56.25,Restaurant Locations
2025-12-06,DineIQ West Loop Bistro,276.0,273.47,2.53,Restaurant Locations
2025-12-07,DineIQ Atlanta Midtown,158.0,247.84,-89.84,Restaurant Locations
2025-12-07,DineIQ Austin Domain Drive-Thru,12.0,138.16,-126.16,Restaurant Locations
2025-12-07,DineIQ Austin Downtown,227.0,262.5,-35.5,Restaurant Locations
2025-12-07,DineIQ Bellevue Tech Plaza,277.0,233.35,43.65,Restaurant Locations
2025-12-07,DineIQ Boston Back Bay,211.0,217.21,-6.21,Restaurant Locations
2025-12-07,DineIQ Brooklyn Heights,209.0,224.34,-15.34,Restaurant Locations
2025-12-07,DineIQ Chicago Magnificent Mile,289.0,377.07,-88.07,Restaurant Locations
2025-12-07,DineIQ Dallas Arts District,336.0,292.07,43.93,Restaurant Locations
2025-12-07,DineIQ Denver LoDo,239.0,234.56,4.44,Restaurant Locations
2025-12-07,DineIQ Financial Center,312.0,360.17,-48.17,Restaurant Locations
2025-12-07,DineIQ Flagship Downtown,262.0,440.38,-178.38,Restaurant Locations
2025-12-07,DineIQ Houston Galleria,260.0,262.32,-2.32,Restaurant Locations
2025-12-07,DineIQ Los Angeles Beverly,338.0,414.42,-76.42,Restaurant Locations
2025-12-07,DineIQ Miami South Beach,271.0,368.55,-97.55,Restaurant Locations
2025-12-07,DineIQ Orlando Theme Park Outpost,385.0,382.46,2.54,Restaurant Locations
2025-12-07,DineIQ San Francisco Embarcadero,466.0,346.2,119.8,Restaurant Locations
2025-12-07,DineIQ Santa Monica Promenade,276.0,378.51,-102.51,Restaurant Locations
2025-12-07,DineIQ Seattle Pike Place,120.0,268.49,-148.49,Restaurant Locations
2025-12-07,DineIQ Silicon Valley Hub,248.0,273.56,-25.56,Restaurant Locations
2025-12-07,DineIQ West Loop Bistro,150.0,265.75,-115.75,Restaurant Locations
2025-12-08,DineIQ Atlanta Midtown,177.0,167.16,9.84,Restaurant Locations
2025-12-08,DineIQ Austin Domain Drive-Thru,76.0,83.06,-7.06,Restaurant Locations
2025-12-08,DineIQ Austin Downtown,214.0,169.99,44.01,Restaurant Locations
2025-12-08,DineIQ Bellevue Tech Plaza,125.0,167.61,-42.61,Restaurant Locations
2025-12-08,DineIQ Boston Back Bay,224.0,167.01,56.99,Restaurant Locations
2025-12-08,DineIQ Brooklyn Heights,198.0,164.8,33.2,Restaurant Locations
2025-12-08,DineIQ Chicago Magnificent Mile,203.0,229.99,-26.99,Restaurant Locations
2025-12-08,DineIQ Dallas Arts District,194.0,179.01,14.99,Restaurant Locations
2025-12-08,DineIQ Denver LoDo,108.0,187.88,-79.88,Restaurant Locations
2025-12-08,DineIQ Financial Center,160.0,208.23,-48.23,Restaurant Locations
2025-12-08,DineIQ Flagship Downtown,332.0,302.24,29.76,Restaurant Locations
2025-12-08,DineIQ Houston Galleria,234.0,180.63,53.37,Restaurant Locations
2025-12-08,DineIQ Los Angeles Beverly,256.0,279.91,-23.91,Restaurant Locations
2025-12-08,DineIQ Miami South Beach,297.0,215.01,81.99,Restaurant Locations
2025-12-08,DineIQ Orlando Theme Park Outpost,225.0,235.76,-10.76,Restaurant Locations
2025-12-08,DineIQ San Francisco Embarcadero,308.0,231.22,76.78,Restaurant Locations
2025-12-08,DineIQ Santa Monica Promenade,203.0,210.12,-7.12,Restaurant Locations
2025-12-08,DineIQ Seattle Pike Place,254.0,172.56,81.44,Restaurant Locations
2025-12-08,DineIQ Silicon Valley Hub,131.0,180.04,-49.04,Restaurant Locations
2025-12-08,DineIQ West Loop Bistro,279.0,173.7,105.3,Restaurant Locations
2025-12-09,DineIQ Atlanta Midtown,124.0,154.96,-30.96,Restaurant Locations
2025-12-09,DineIQ Austin Domain Drive-Thru,9.0,88.61,-79.61,Restaurant Locations
2025-12-09,DineIQ Austin Downtown,169.0,159.32,9.68,Restaurant Locations
2025-12-09,DineIQ Bellevue Tech Plaza,165.0,157.1,7.9,Restaurant Locations
2025-12-09,DineIQ Boston Back Bay,137.0,133.2,3.8,Restaurant Locations
2025-12-09,DineIQ Brooklyn Heights,111.0,135.25,-24.25,Restaurant Locations
2025-12-09,DineIQ Chicago Magnificent Mile,297.0,211.78,85.22,Restaurant Locations
2025-12-09,DineIQ Dallas Arts District,121.0,166.16,-45.16,Restaurant Locations
2025-12-09,DineIQ Denver LoDo,42.0,174.99,-132.99,Restaurant Locations
2025-12-09,DineIQ Financial Center,213.0,195.29,17.71,Restaurant Locations
2025-12-09,DineIQ Flagship Downtown,173.0,251.06,-78.06,Restaurant Locations
2025-12-09,DineIQ Houston Galleria,182.0,175.0,7.0,Restaurant Locations
2025-12-09,DineIQ Los Angeles Beverly,230.0,226.91,3.09,Restaurant Locations
2025-12-09,DineIQ Miami South Beach,103.0,215.19,-112.19,Restaurant Locations
2025-12-09,DineIQ Orlando Theme Park Outpost,185.0,216.25,-31.25,Restaurant Locations
2025-12-09,DineIQ San Francisco Embarcadero,210.0,231.77,-21.77,Restaurant Locations
2025-12-09,DineIQ Santa Monica Promenade,152.0,208.78,-56.78,Restaurant Locations
2025-12-09,DineIQ Seattle Pike Place,143.0,175.82,-32.82,Restaurant Locations
2025-12-09,DineIQ Silicon Valley Hub,246.0,168.35,77.65,Restaurant Locations
2025-12-09,DineIQ West Loop Bistro,185.0,166.39,18.61,Restaurant Locations
2025-12-10,DineIQ Atlanta Midtown,177.0,140.61,36.39,Restaurant Locations
2025-12-10,DineIQ Austin Domain Drive-Thru,76.0,92.81,-16.81,Restaurant Locations
2025-12-10,DineIQ Austin Downtown,190.0,150.06,39.94,Restaurant Locations
2025-12-10,DineIQ Bellevue Tech Plaza,157.0,146.39,10.61,Restaurant Locations
2025-12-10,DineIQ Boston Back Bay,173.0,136.52,36.48,Restaurant Locations
2025-12-10,DineIQ Brooklyn Heights,112.0,131.84,-19.84,Restaurant Locations
2025-12-10,DineIQ Chicago Magnificent Mile,151.0,216.17,-65.17,Restaurant Locations
2025-12-10,DineIQ Dallas Arts District,132.0,156.09,-24.09,Restaurant Locations
2025-12-10,DineIQ Denver LoDo,159.0,164.7,-5.7,Restaurant Locations
2025-12-10,DineIQ Financial Center,237.0,165.36,71.64,Restaurant Locations
2025-12-10,DineIQ Flagship Downtown,121.0,248.6,-127.6,Restaurant Locations
2025-12-10,DineIQ Houston Galleria,145.0,179.67,-34.67,Restaurant Locations
2025-12-10,DineIQ Los Angeles Beverly,262.0,226.11,35.89,Restaurant Locations
2025-12-10,DineIQ Miami South Beach,206.0,221.94,-15.94,Restaurant Locations
2025-12-10,DineIQ Orlando Theme Park Outpost,147.0,200.8,-53.8,Restaurant Locations
2025-12-10,DineIQ San Francisco Embarcadero,155.0,212.97,-57.97,Restaurant Locations
2025-12-10,DineIQ Santa Monica Promenade,216.0,209.84,6.16,Restaurant Locations
2025-12-10,DineIQ Seattle Pike Place,193.0,175.67,17.33,Restaurant Locations
2025-12-10,DineIQ Silicon Valley Hub,217.0,161.13,55.87,Restaurant Locations
2025-12-10,DineIQ West Loop Bistro,127.0,159.51,-32.51,Restaurant Locations
2025-12-11,DineIQ Atlanta Midtown,138.0,179.05,-41.05,Restaurant Locations
2025-12-11,DineIQ Austin Domain Drive-Thru,107.0,105.21,1.79,Restaurant Locations
2025-12-11,DineIQ Austin Downtown,169.0,185.0,-16.0,Restaurant Locations
2025-12-11,DineIQ Bellevue Tech Plaza,180.0,184.37,-4.37,Restaurant Locations
2025-12-11,DineIQ Boston Back Bay,231.0,149.35,81.65,Restaurant Locations
2025-12-11,DineIQ Brooklyn Heights,210.0,163.57,46.43,Restaurant Locations
2025-12-11,DineIQ Chicago Magnificent Mile,245.0,251.71,-6.71,Restaurant Locations
2025-12-11,DineIQ Dallas Arts District,203.0,181.37,21.63,Restaurant Locations
2025-12-11,DineIQ Denver LoDo,170.0,178.04,-8.04,Restaurant Locations
2025-12-11,DineIQ Financial Center,234.0,223.02,10.98,Restaurant Locations
2025-12-11,DineIQ Flagship Downtown,313.0,272.93,40.07,Restaurant Locations
2025-12-11,DineIQ Houston Galleria,134.0,202.4,-68.4,Restaurant Locations
2025-12-11,DineIQ Los Angeles Beverly,431.0,271.77,159.23,Restaurant Locations
2025-12-11,DineIQ Miami South Beach,270.0,240.96,29.04,Restaurant Locations
2025-12-11,DineIQ Orlando Theme Park Outpost,245.0,233.88,11.12,Restaurant Locations
2025-12-11,DineIQ San Francisco Embarcadero,298.0,242.18,55.82,Restaurant Locations
2025-12-11,DineIQ Santa Monica Promenade,258.0,221.38,36.62,Restaurant Locations
2025-12-11,DineIQ Seattle Pike Place,164.0,190.08,-26.08,Restaurant Locations
2025-12-11,DineIQ Silicon Valley Hub,177.0,193.26,-16.26,Restaurant Locations
2025-12-11,DineIQ West Loop Bistro,190.0,194.88,-4.88,Restaurant Locations
2025-12-12,DineIQ Atlanta Midtown,163.0,236.98,-73.98,Restaurant Locations
2025-12-12,DineIQ Austin Domain Drive-Thru,102.0,138.84,-36.84,Restaurant Locations
2025-12-12,DineIQ Austin Downtown,302.0,269.11,32.89,Restaurant Locations
2025-12-12,DineIQ Bellevue Tech Plaza,299.0,257.79,41.21,Restaurant Locations
2025-12-12,DineIQ Boston Back Bay,278.0,225.54,52.46,Restaurant Locations
2025-12-12,DineIQ Brooklyn Heights,205.0,236.37,-31.37,Restaurant Locations
2025-12-12,DineIQ Chicago Magnificent Mile,441.0,338.93,102.07,Restaurant Locations
2025-12-12,DineIQ Dallas Arts District,244.0,268.9,-24.9,Restaurant Locations
2025-12-12,DineIQ Denver LoDo,294.0,253.16,40.84,Restaurant Locations
2025-12-12,DineIQ Financial Center,288.0,329.04,-41.04,Restaurant Locations
2025-12-12,DineIQ Flagship Downtown,395.0,430.51,-35.51,Restaurant Locations
2025-12-12,DineIQ Houston Galleria,211.0,289.77,-78.77,Restaurant Locations
2025-12-12,DineIQ Los Angeles Beverly,337.0,404.12,-67.12,Restaurant Locations
2025-12-12,DineIQ Miami South Beach,362.0,354.16,7.84,Restaurant Locations
2025-12-12,DineIQ Orlando Theme Park Outpost,346.0,381.77,-35.77,Restaurant Locations
2025-12-12,DineIQ San Francisco Embarcadero,245.0,341.64,-96.64,Restaurant Locations
2025-12-12,DineIQ Santa Monica Promenade,301.0,360.35,-59.35,Restaurant Locations
2025-12-12,DineIQ Seattle Pike Place,407.0,283.86,123.14,Restaurant Locations
2025-12-12,DineIQ Silicon Valley Hub,267.0,280.22,-13.22,Restaurant Locations
2025-12-12,DineIQ West Loop Bistro,204.0,276.97,-72.97,Restaurant Locations
2025-12-13,DineIQ Atlanta Midtown,250.0,236.1,13.9,Restaurant Locations
2025-12-13,DineIQ Austin Domain Drive-Thru,152.0,182.94,-30.94,Restaurant Locations
2025-12-13,DineIQ Austin Downtown,292.0,277.62,14.38,Restaurant Locations
2025-12-13,DineIQ Bellevue Tech Plaza,229.0,248.59,-19.59,Restaurant Locations
2025-12-13,DineIQ Boston Back Bay,164.0,237.99,-73.99,Restaurant Locations
2025-12-13,DineIQ Brooklyn Heights,114.0,230.57,-116.57,Restaurant Locations
2025-12-13,DineIQ Chicago Magnificent Mile,254.0,355.8,-101.8,Restaurant Locations
2025-12-13,DineIQ Dallas Arts District,370.0,289.03,80.97,Restaurant Locations
2025-12-13,DineIQ Denver LoDo,195.0,250.72,-55.72,Restaurant Locations
2025-12-13,DineIQ Financial Center,238.0,340.49,-102.49,Restaurant Locations
2025-12-13,DineIQ Flagship Downtown,414.0,418.78,-4.78,Restaurant Locations
2025-12-13,DineIQ Houston Galleria,274.0,276.65,-2.65,Restaurant Locations
2025-12-13,DineIQ Los Angeles Beverly,435.0,387.63,47.37,Restaurant Locations
2025-12-13,DineIQ Miami South Beach,377.0,352.71,24.29,Restaurant Locations
2025-12-13,DineIQ Orlando Theme Park Outpost,281.0,378.61,-97.61,Restaurant Locations
2025-12-13,DineIQ San Francisco Embarcadero,465.0,367.56,97.44,Restaurant Locations
2025-12-13,DineIQ Santa Monica Promenade,393.0,329.77,63.23,Restaurant Locations
2025-12-13,DineIQ Seattle Pike Place,347.0,285.65,61.35,Restaurant Locations
2025-12-13,DineIQ Silicon Valley Hub,316.0,265.36,50.64,Restaurant Locations
2025-12-13,DineIQ West Loop Bistro,326.0,271.6,54.4,Restaurant Locations
2025-12-14,DineIQ Atlanta Midtown,221.0,227.79,-6.79,Restaurant Locations
2025-12-14,DineIQ Austin Domain Drive-Thru,167.0,138.74,28.26,Restaurant Locations
2025-12-14,DineIQ Austin Downtown,383.0,259.76,123.24,Restaurant Locations
2025-12-14,DineIQ Bellevue Tech Plaza,225.0,230.38,-5.38,Restaurant Locations
2025-12-14,DineIQ Boston Back Bay,130.0,240.56,-110.56,Restaurant Locations
2025-12-14,DineIQ Brooklyn Heights,121.0,218.96,-97.96,Restaurant Locations
2025-12-14,DineIQ Chicago Magnificent Mile,220.0,314.92,-94.92,Restaurant Locations
2025-12-14,DineIQ Dallas Arts District,204.0,242.02,-38.02,Restaurant Locations
2025-12-14,DineIQ Denver LoDo,91.0,240.96,-149.96,Restaurant Locations
2025-12-14,DineIQ Financial Center,245.0,319.76,-74.76,Restaurant Locations
2025-12-14,DineIQ Flagship Downtown,280.0,419.04,-139.04,Restaurant Locations
2025-12-14,DineIQ Houston Galleria,215.0,277.24,-62.24,Restaurant Locations
2025-12-14,DineIQ Los Angeles Beverly,502.0,406.71,95.29,Restaurant Locations
2025-12-14,DineIQ Miami South Beach,400.0,341.48,58.52,Restaurant Locations
2025-12-14,DineIQ Orlando Theme Park Outpost,365.0,340.38,24.62,Restaurant Locations
2025-12-14,DineIQ San Francisco Embarcadero,278.0,329.21,-51.21,Restaurant Locations
2025-12-14,DineIQ Santa Monica Promenade,295.0,342.55,-47.55,Restaurant Locations
2025-12-14,DineIQ Seattle Pike Place,270.0,245.11,24.89,Restaurant Locations
2025-12-14,DineIQ Silicon Valley Hub,349.0,253.21,95.79,Restaurant Locations
2025-12-14,DineIQ West Loop Bistro,226.0,258.52,-32.52,Restaurant Locations
2025-12-15,DineIQ Atlanta Midtown,160.0,180.61,-20.61,Restaurant Locations
2025-12-15,DineIQ Austin Domain Drive-Thru,99.0,95.69,3.31,Restaurant Locations
2025-12-15,DineIQ Austin Downtown,171.0,186.88,-15.88,Restaurant Locations
2025-12-15,DineIQ Bellevue Tech Plaza,164.0,176.61,-12.61,Restaurant Locations
2025-12-15,DineIQ Boston Back Bay,216.0,156.82,59.18,Restaurant Locations
2025-12-15,DineIQ Brooklyn Heights,160.0,156.49,3.51,Restaurant Locations
2025-12-15,DineIQ Chicago Magnificent Mile,233.0,217.73,15.27,Restaurant Locations
2025-12-15,DineIQ Dallas Arts District,188.0,174.1,13.9,Restaurant Locations
2025-12-15,DineIQ Denver LoDo,156.0,154.85,1.15,Restaurant Locations
2025-12-15,DineIQ Financial Center,244.0,188.32,55.68,Restaurant Locations
2025-12-15,DineIQ Flagship Downtown,346.0,301.77,44.23,Restaurant Locations
2025-12-15,DineIQ Houston Galleria,357.0,189.87,167.13,Restaurant Locations
2025-12-15,DineIQ Los Angeles Beverly,295.0,288.92,6.08,Restaurant Locations
2025-12-15,DineIQ Miami South Beach,206.0,211.45,-5.45,Restaurant Locations
2025-12-15,DineIQ Orlando Theme Park Outpost,240.0,223.22,16.78,Restaurant Locations
2025-12-15,DineIQ San Francisco Embarcadero,288.0,224.75,63.25,Restaurant Locations
2025-12-15,DineIQ Santa Monica Promenade,169.0,223.56,-54.56,Restaurant Locations
2025-12-15,DineIQ Seattle Pike Place,133.0,194.6,-61.6,Restaurant Locations
2025-12-15,DineIQ Silicon Valley Hub,174.0,179.77,-5.77,Restaurant Locations
2025-12-15,DineIQ West Loop Bistro,169.0,170.35,-1.35,Restaurant Locations
2025-12-16,DineIQ Atlanta Midtown,106.0,153.44,-47.44,Restaurant Locations
2025-12-16,DineIQ Austin Domain Drive-Thru,64.0,93.67,-29.67,Restaurant Locations
2025-12-16,DineIQ Austin Downtown,217.0,156.66,60.34,Restaurant Locations
2025-12-16,DineIQ Bellevue Tech Plaza,146.0,153.75,-7.75,Restaurant Locations
2025-12-16,DineIQ Boston Back Bay,242.0,139.75,102.25,Restaurant Locations
2025-12-16,DineIQ Brooklyn Heights,117.0,137.73,-20.73,Restaurant Locations
2025-12-16,DineIQ Chicago Magnificent Mile,174.0,218.06,-44.06,Restaurant Locations
2025-12-16,DineIQ Dallas Arts District,157.0,157.99,-0.99,Restaurant Locations
2025-12-16,DineIQ Denver LoDo,65.0,148.19,-83.19,Restaurant Locations
2025-12-16,DineIQ Financial Center,147.0,160.83,-13.83,Restaurant Locations
2025-12-16,DineIQ Flagship Downtown,198.0,234.06,-36.06,Restaurant Locations
2025-12-16,DineIQ Houston Galleria,235.0,178.37,56.63,Restaurant Locations
2025-12-16,DineIQ Los Angeles Beverly,299.0,225.25,73.75,Restaurant Locations
2025-12-16,DineIQ Miami South Beach,137.0,217.18,-80.18,Restaurant Locations
2025-12-16,DineIQ Orlando Theme Park Outpost,247.0,201.76,45.24,Restaurant Locations
2025-12-16,DineIQ San Francisco Embarcadero,301.0,206.7,94.3,Restaurant Locations
2025-12-16,DineIQ Santa Monica Promenade,260.0,215.9,44.1,Restaurant Locations
2025-12-16,DineIQ Seattle Pike Place,183.0,182.08,0.92,Restaurant Locations
2025-12-16,DineIQ Silicon Valley Hub,85.0,160.07,-75.07,Restaurant Locations
2025-12-16,DineIQ West Loop Bistro,199.0,157.07,41.93,Restaurant Locations
2025-12-17,DineIQ Atlanta Midtown,154.0,144.56,9.44,Restaurant Locations
2025-12-17,DineIQ Austin Domain Drive-Thru,109.0,94.77,14.23,Restaurant Locations
2025-12-17,DineIQ Austin Downtown,179.0,152.01,26.99,Restaurant Locations
2025-12-17,DineIQ Bellevue Tech Plaza,140.0,142.36,-2.36,Restaurant Locations
2025-12-17,DineIQ Boston Back Bay,82.0,144.17,-62.17,Restaurant Locations
2025-12-17,DineIQ Brooklyn Heights,139.0,136.71,2.29,Restaurant Locations
2025-12-17,DineIQ Chicago Magnificent Mile,215.0,217.95,-2.95,Restaurant Locations
2025-12-17,DineIQ Dallas Arts District,166.0,159.72,6.28,Restaurant Locations
2025-12-17,DineIQ Denver LoDo,97.0,152.83,-55.83,Restaurant Locations
2025-12-17,DineIQ Financial Center,223.0,168.79,54.21,Restaurant Locations
2025-12-17,DineIQ Flagship Downtown,320.0,227.52,92.48,Restaurant Locations
2025-12-17,DineIQ Houston Galleria,183.0,171.71,11.29,Restaurant Locations
2025-12-17,DineIQ Los Angeles Beverly,272.0,220.93,51.07,Restaurant Locations
2025-12-17,DineIQ Miami South Beach,196.0,220.43,-24.43,Restaurant Locations
2025-12-17,DineIQ Orlando Theme Park Outpost,214.0,196.42,17.58,Restaurant Locations
2025-12-17,DineIQ San Francisco Embarcadero,160.0,203.93,-43.93,Restaurant Locations
2025-12-17,DineIQ Santa Monica Promenade,202.0,205.71,-3.71,Restaurant Locations
2025-12-17,DineIQ Seattle Pike Place,85.0,179.5,-94.5,Restaurant Locations
