item_id,item_name,complexity_profile,wastage_id,location_id,wastage_date,quantity_wasted,unit_cost,total_loss_amount,wastage_reason
ITEM-065,Jumbo Lump Crab Cakes (2pcs),HIGH_WASTAGE,WAS-000040,LOC-013,2025-03-31,4,15.0,60.0,EXPIRED_SHELF_LIFE
ITEM-020,Spicy Nashville Hot Chicken Bun,STANDARD,WAS-000041,LOC-011,2025-12-27,1,7.5,7.5,OVERCOOKED_OR_BURNT
ITEM-067,Seafood Paella Valenciana,HIGH_WASTAGE,WAS-000042,LOC-019,2025-03-24,3,16.0,48.0,EXPIRED_SHELF_LIFE
ITEM-006,Soft-Shell Crab Sliders,HIGH_WASTAGE,WAS-000043,LOC-019,2025-08-05,5,10.2,51.0,EXPIRED_SHELF_LIFE
ITEM-129,Smoked Rosemary Paloma Tequila,STANDARD,WAS-000044,LOC-010,2025-03-24,3,2.8,8.4,EXPIRED_SHELF_LIFE
ITEM-040,Truffled Wild Mushroom Gnocchi,STANDARD,WAS-000045,LOC-011,2025-04-27,2,7.8,15.6,OVERPRODUCTION_UNSOLD
ITEM-078,Burrata Caprese Heirloom Salad,HIGH_WASTAGE,WAS-000046,LOC-016,2025-08-11,10,7.8,78.0,OVERPRODUCTION_UNSOLD
ITEM-045,Linguine alle Vongole (Clams),HIGH_WASTAGE,WAS-000047,LOC-008,2025-03-31,5,12.0,60.0,OVERPRODUCTION_UNSOLD
ITEM-069,Grilled Yellowfin Ahi Tuna Steak,HIGH_WASTAGE,WAS-000048,LOC-002,2025-04-30,8,14.8,118.4,EQUIPMENT_COOLER_FAILURE
ITEM-071,Steamed Blue Mussels White Wine,HIGH_WASTAGE,WAS-000049,LOC-014,2025-06-21,3,9.5,28.5,EXPIRED_SHELF_LIFE
ITEM-028,Cubano Roast Pork Sandwich,STANDARD,WAS-000050,LOC-017,2025-08-28,7,7.2,50.4,EXPIRED_SHELF_LIFE
ITEM-086,Sesame Ahi Tuna Poke Bowl,HIGH_WASTAGE,WAS-000076,LOC-006,2025-10-19,8,10.2,81.6,OVERPRODUCTION_UNSOLD
ITEM-098,Avocado Supergreen Toast Sourdough,HIGH_WASTAGE,WAS-000077,LOC-007,2025-09-03,5,6.8,34.0,OVERPRODUCTION_UNSOLD
ITEM-010,Smoked Duck Croquettes,STANDARD,WAS-000078,LOC-012,2025-09-24,4,7.0,28.0,OVERCOOKED_OR_BURNT
ITEM-060,Pepper-Crusted Bison Tenderloin,PROFITABLE_LOW_SELLING,WAS-000079,LOC-007,2025-07-29,9,25.0,225.0,EQUIPMENT_COOLER_FAILURE
ITEM-018,Prime Wagyu Truffle Burger,PROFITABLE_LOW_SELLING,WAS-000080,LOC-018,2025-09-08,2,11.5,23.0,EXPIRED_SHELF_LIFE
ITEM-116,Key Lime Tart Graham Crust,STANDARD,WAS-000081,LOC-016,2025-04-22,1,2.7,2.7,PREPARATION_ERROR
ITEM-075,Seafood Bouillabaisse Saffron Rouille,HIGH_WASTAGE,WAS-000082,LOC-009,2025-06-29,4,16.5,66.0,OVERCOOKED_OR_BURNT
ITEM-051,A5 Miyazaki Japanese Wagyu (4oz),PROFITABLE_LOW_SELLING,WAS-000083,LOC-007,2025-10-25,2,32.0,64.0,OVERPRODUCTION_UNSOLD
ITEM-008,Reserve Osetra Caviar Blinis,PROFITABLE_LOW_SELLING,WAS-000084,LOC-014,2025-12-18,9,16.5,148.5,EXPIRED_SHELF_LIFE
ITEM-045,Linguine alle Vongole (Clams),HIGH_WASTAGE,WAS-000085,LOC-002,2025-12-01,12,12.0,144.0,EXPIRED_SHELF_LIFE
ITEM-049,Colorado Rosemary Lamb Chops,STANDARD,WAS-000086,LOC-013,2025-08-10,2,19.5,39.0,OVERPRODUCTION_UNSOLD
ITEM-086,Sesame Ahi Tuna Poke Bowl,HIGH_WASTAGE,WAS-000087,LOC-007,2025-09-27,10,10.2,102.0,EXPIRED_SHELF_LIFE
ITEM-076,DineIQ Signature Caesar Salad,POPULAR_LOW_MARGIN,WAS-000088,LOC-019,2025-01-14,11,8.8,96.8,EXPIRED_SHELF_LIFE
ITEM-119,Matcha Green Tea Crepe Cake,HIGH_WASTAGE,WAS-000089,LOC-002,2025-02-16,5,3.2,16.0,EXPIRED_SHELF_LIFE
ITEM-066,Seared Diver Scallops Sweet Corn,HIGH_WASTAGE,WAS-000090,LOC-006,2025-03-26,6,16.8,100.8,EQUIPMENT_COOLER_FAILURE
ITEM-019,BBQ Pulled Pork Brioche,STANDARD,WAS-000091,LOC-012,2025-12-03,3,7.2,21.6,OVERCOOKED_OR_BURNT
ITEM-086,Sesame Ahi Tuna Poke Bowl,HIGH_WASTAGE,WAS-000092,LOC-002,2025-04-25,4,10.2,40.8,EQUIPMENT_COOLER_FAILURE
ITEM-095,Spicy Tofu Peanut Noodle Bowl,STANDARD,WAS-000093,LOC-017,2025-10-03,4,4.9,19.6,CUSTOMER_SEND_BACK
ITEM-072,Whole Grilled Red Snapper Mojo,HIGH_WASTAGE,WAS-000094,LOC-012,2025-01-30,4,17.5,70.0,OVERPRODUCTION_UNSOLD
ITEM-098,Avocado Supergreen Toast Sourdough,HIGH_WASTAGE,WAS-000095,LOC-020,2025-02-23,11,6.8,74.8,OVERPRODUCTION_UNSOLD
ITEM-067,Seafood Paella Valenciana,HIGH_WASTAGE,WAS-000096,LOC-009,2025-06-11,2,16.0,32.0,OVERCOOKED_OR_BURNT
ITEM-069,Grilled Yellowfin Ahi Tuna Steak,HIGH_WASTAGE,WAS-000097,LOC-014,2025-05-04,7,14.8,103.6,CUSTOMER_SEND_BACK
ITEM-065,Jumbo Lump Crab Cakes (2pcs),HIGH_WASTAGE,WAS-000098,LOC-003,2025-04-06,12,15.0,180.0,OVERPRODUCTION_UNSOLD
ITEM-005,Wild Alaskan Salmon Tartare,HIGH_WASTAGE,WAS-000099,LOC-003,2025-07-20,11,11.5,126.5,EXPIRED_SHELF_LIFE
ITEM-014,Spanakopita Herb Triangles,STANDARD,WAS-000100,LOC-016,2025-12-19,4,4.5,18.0,EXPIRED_SHELF_LIFE
ITEM-064,Butter Poached Maine Lobster Tail,HIGH_WASTAGE,WAS-000131,LOC-013,2025-12-23,4,23.5,94.0,OVERCOOKED_OR_BURNT
ITEM-035,Black Truffle Tagliolini Caviar,PROFITABLE_LOW_SELLING,WAS-000132,LOC-004,2025-06-22,8,11.5,92.0,EXPIRED_SHELF_LIFE
ITEM-019,BBQ Pulled Pork Brioche,STANDARD,WAS-000133,LOC-018,2025-08-14,2,7.2,14.4,EXPIRED_SHELF_LIFE
ITEM-053,Smoked Bone-in Kurobuta Pork Chop,STANDARD,WAS-000134,LOC-009,2025-03-14,9,13.8,124.2,EXPIRED_SHELF_LIFE
ITEM-144,Fresh Squeezed Orange Juice,HIGH_WASTAGE,WAS-000135,LOC-007,2025-12-28,12,2.6,31.2,EXPIRED_SHELF_LIFE
ITEM-049,Colorado Rosemary Lamb Chops,STANDARD,WAS-000136,LOC-015,2025-07-26,11,19.5,214.5,EXPIRED_SHELF_LIFE
ITEM-069,Grilled Yellowfin Ahi Tuna Steak,HIGH_WASTAGE,WAS-000137,LOC-013,2025-11-01,4,14.8,59.2,PREPARATION_ERROR
ITEM-083,Classic Greek Village Salad,PRICE_SENSITIVE,WAS-000138,LOC-002,2025-06-29,5,4.8,24.0,EQUIPMENT_COOLER_FAILURE
ITEM-061,Pan-Seared Chilean Sea Bass,PROFITABLE_LOW_SELLING,WAS-000139,LOC-011,2025-12-06,12,18.5,222.0,EXPIRED_SHELF_LIFE
ITEM-146,Acai Berry Superfood Smoothie,HIGH_WASTAGE,WAS-000140,LOC-004,2025-06-27,3,3.4,10.2,EXPIRED_SHELF_LIFE
ITEM-146,Acai Berry Superfood Smoothie,HIGH_WASTAGE,WAS-000141,LOC-018,2025-07-05,7,3.4,23.8,OVERPRODUCTION_UNSOLD
ITEM-039,Handcrafted Lobster Ravioli,HIGH_WASTAGE,WAS-000142,LOC-003,2025-01-01,4,11.2,44.8,OVERPRODUCTION_UNSOLD
ITEM-067,Seafood Paella Valenciana,HIGH_WASTAGE,WAS-000143,LOC-002,2025-11-21,4,16.0,64.0,EXPIRED_SHELF_LIFE
ITEM-045,Linguine alle Vongole (Clams),HIGH_WASTAGE,WAS-000144,LOC-012,2025-02-28,8,12.0,96.0,EXPIRED_SHELF_LIFE
ITEM-043,Burrata Caprese Pizza,HIGH_WASTAGE,WAS-000145,LOC-004,2025-06-19,8,8.5,68.0,PREPARATION_ERROR
ITEM-006,Soft-Shell Crab Sliders,HIGH_WASTAGE,WAS-000146,LOC-014,2025-07-28,8,10.2,81.6,EXPIRED_SHELF_LIFE
ITEM-075,Seafood Bouillabaisse Saffron Rouille,HIGH_WASTAGE,WAS-000147,LOC-016,2025-05-21,9,16.5,148.5,EXPIRED_SHELF_LIFE
ITEM-069,Grilled Yellowfin Ahi Tuna Steak,HIGH_WASTAGE,WAS-000148,LOC-004,2025-04-20,8,14.8,118.4,EQUIPMENT_COOLER_FAILURE
ITEM-006,Soft-Shell Crab Sliders,HIGH_WASTAGE,WAS-000149,LOC-012,2025-11-20,9,10.2,91.8,EXPIRED_SHELF_LIFE
ITEM-043,Burrata Caprese Pizza,HIGH_WASTAGE,WAS-000150,LOC-019,2025-10-03,9,8.5,76.5,OVERCOOKED_OR_BURNT
ITEM-128,Hibiscus Berry Botanical Fizz (Mocktail),STANDARD,WAS-000151,LOC-019,2025-10-20,4,1.8,7.2,OVERCOOKED_OR_BURNT
ITEM-039,Handcrafted Lobster Ravioli,HIGH_WASTAGE,WAS-000152,LOC-012,2025-03-20,4,11.2,44.8,OVERPRODUCTION_UNSOLD
ITEM-021,California Turkey Avocado Club,HIGH_WASTAGE,WAS-000153,LOC-015,2025-02-19,11,8.9,97.9,OVERPRODUCTION_UNSOLD
ITEM-067,Seafood Paella Valenciana,HIGH_WASTAGE,WAS-000154,LOC-003,2025-06-12,4,16.0,64.0,CUSTOMER_SEND_BACK
ITEM-148,Cold Pressed Green Detox Juice,HIGH_WASTAGE,WAS-000155,LOC-019,2025-01-23,6,4.1,24.6,EQUIPMENT_COOLER_FAILURE
ITEM-039,Handcrafted Lobster Ravioli,HIGH_WASTAGE,WAS-000156,LOC-015,2025-12-17,9,11.2,100.8,OVERPRODUCTION_UNSOLD
ITEM-080,Roasted Beet & Goat Cheese Bowl,STANDARD,WAS-000157,LOC-020,2025-03-20,3,5.4,16.2,PREPARATION_ERROR
ITEM-095,Spicy Tofu Peanut Noodle Bowl,STANDARD,WAS-000158,LOC-007,2025-05-23,4,4.9,19.6,OVERCOOKED_OR_BURNT
ITEM-039,Handcrafted Lobster Ravioli,HIGH_WASTAGE,WAS-000159,LOC-004,2025-01-28,7,11.2,78.4,EXPIRED_SHELF_LIFE
ITEM-086,Sesame Ahi Tuna Poke Bowl,HIGH_WASTAGE,WAS-000160,LOC-001,2025-12-28,12,10.2,122.4,OVERPRODUCTION_UNSOLD
ITEM-062,Crispy Skin Mediterranean Branzino,HIGH_WASTAGE,WAS-000161,LOC-009,2025-09-25,5,16.0,80.0,OVERCOOKED_OR_BURNT
ITEM-075,Seafood Bouillabaisse Saffron Rouille,HIGH_WASTAGE,WAS-000162,LOC-007,2025-12-30,11,16.5,181.5,CUSTOMER_SEND_BACK
ITEM-075,Seafood Bouillabaisse Saffron Rouille,HIGH_WASTAGE,WAS-000163,LOC-005,2025-08-05,9,16.5,148.5,EQUIPMENT_COOLER_FAILURE
ITEM-071,Steamed Blue Mussels White Wine,HIGH_WASTAGE,WAS-000164,LOC-009,2025-05-06,9,9.5,85.5,PREPARATION_ERROR
ITEM-011,Spicy Tuna Crispy Rice,HIGH_WASTAGE,WAS-000165,LOC-006,2025-10-15,4,9.8,39.2,EXPIRED_SHELF_LIFE
ITEM-110,Fresh Wild Berry Pavlova,HIGH_WASTAGE,WAS-000166,LOC-012,2025-12-23,6,5.8,34.8,OVERPRODUCTION_UNSOLD
ITEM-048,Dry-Aged Bone-in NY Strip (16oz),STANDARD,WAS-000167,LOC-013,2025-09-18,6,26.0,156.0,EQUIPMENT_COOLER_FAILURE
ITEM-029,Truffle Lobster Roll,PROFITABLE_LOW_SELLING,WAS-000168,LOC-001,2025-02-26,1,14.5,14.5,OVERPRODUCTION_UNSOLD
ITEM-006,Soft-Shell Crab Sliders,HIGH_WASTAGE,WAS-000169,LOC-015,2025-10-14,12,10.2,122.4,EXPIRED_SHELF_LIFE
ITEM-074,Fried Softshell Crab Basket,HIGH_WASTAGE,WAS-000170,LOC-016,2025-08-20,7,12.0,84.0,EXPIRED_SHELF_LIFE
ITEM-082,Wild Rice & Avocado Harvest Bowl,HIGH_WASTAGE,WAS-000171,LOC-002,2025-10-11,3,7.5,22.5,EXPIRED_SHELF_LIFE
ITEM-005,Wild Alaskan Salmon Tartare,HIGH_WASTAGE,WAS-000172,LOC-009,2025-11-29,9,11.5,103.5,PREPARATION_ERROR
ITEM-069,Grilled Yellowfin Ahi Tuna Steak,HIGH_WASTAGE,WAS-000173,LOC-010,2025-10-23,12,14.8,177.6,EXPIRED_SHELF_LIFE
ITEM-036,Slow-Braised Wild Boar Pappardelle,STANDARD,WAS-000174,LOC-020,2025-11-05,4,9.5,38.0,OVERPRODUCTION_UNSOLD
ITEM-078,Burrata Caprese Heirloom Salad,HIGH_WASTAGE,WAS-000175,LOC-016,2025-10-11,11,7.8,85.8,OVERPRODUCTION_UNSOLD
ITEM-027,Chipotle Fish Tacos (3pcs),HIGH_WASTAGE,WAS-000176,LOC-015,2025-02-05,11,8.7,95.7,EXPIRED_SHELF_LIFE
ITEM-082,Wild Rice & Avocado Harvest Bowl,HIGH_WASTAGE,WAS-000177,LOC-003,2025-11-29,3,7.5,22.5,OVERPRODUCTION_UNSOLD
ITEM-062,Crispy Skin Mediterranean Branzino,HIGH_WASTAGE,WAS-000178,LOC-002,2025-04-25,5,16.0,80.0,OVERCOOKED_OR_BURNT
ITEM-144,Fresh Squeezed Orange Juice,HIGH_WASTAGE,WAS-000179,LOC-008,2025-04-16,7,2.6,18.2,PREPARATION_ERROR
ITEM-021,California Turkey Avocado Club,HIGH_WASTAGE,WAS-000180,LOC-016,2025-04-25,4,8.9,35.6,OVERPRODUCTION_UNSOLD
ITEM-054,Coffee-Crusted Prime Ribeye (14oz),STANDARD,WAS-000181,LOC-009,2025-04-28,3,23.0,69.0,OVERPRODUCTION_UNSOLD
ITEM-017,Crispy Buttermilk Chicken Sandwich,POPULAR_LOW_MARGIN,WAS-000182,LOC-003,2025-02-20,10,11.0,110.0,EXPIRED_SHELF_LIFE
ITEM-144,Fresh Squeezed Orange Juice,HIGH_WASTAGE,WAS-000183,LOC-017,2025-02-10,3,2.6,7.8,EXPIRED_SHELF_LIFE
ITEM-119,Matcha Green Tea Crepe Cake,HIGH_WASTAGE,WAS-000184,LOC-013,2025-11-05,9,3.2,28.8,EXPIRED_SHELF_LIFE
ITEM-040,Truffled Wild Mushroom Gnocchi,STANDARD,WAS-000185,LOC-016,2025-08-28,12,7.8,93.6,EXPIRED_SHELF_LIFE
ITEM-078,Burrata Caprese Heirloom Salad,HIGH_WASTAGE,WAS-000186,LOC-005,2025-11-11,3,7.8,23.4,EXPIRED_SHELF_LIFE
ITEM-108,New York Style Cheesecake,POPULAR_LOW_MARGIN,WAS-000187,LOC-005,2025-12-28,2,6.9,13.8,OVERPRODUCTION_UNSOLD
ITEM-072,Whole Grilled Red Snapper Mojo,HIGH_WASTAGE,WAS-000188,LOC-003,2025-03-19,9,17.5,157.5,OVERPRODUCTION_UNSOLD
ITEM-071,Steamed Blue Mussels White Wine,HIGH_WASTAGE,WAS-000189,LOC-013,2025-03-20,7,9.5,66.5,OVERPRODUCTION_UNSOLD
ITEM-039,Handcrafted Lobster Ravioli,HIGH_WASTAGE,WAS-000190,LOC-008,2025-07-07,6,11.2,67.2,EXPIRED_SHELF_LIFE
ITEM-011,Spicy Tuna Crispy Rice,HIGH_WASTAGE,WAS-000191,LOC-008,2025-06-08,7,9.8,68.6,EXPIRED_SHELF_LIFE
ITEM-120,Affogato al Caffe Espresso Scoop,PRICE_SENSITIVE,WAS-000192,LOC-017,2025-01-03,5,1.5,7.5,EQUIPMENT_COOLER_FAILURE
ITEM-123,Spicy Passionfruit Mezcalita,STANDARD,WAS-000193,LOC-015,2025-10-22,3,3.1,9.3,PREPARATION_ERROR
ITEM-075,Seafood Bouillabaisse Saffron Rouille,HIGH_WASTAGE,WAS-000194,LOC-004,2025-06-17,6,16.5,99.0,OVERPRODUCTION_UNSOLD
ITEM-054,Coffee-Crusted Prime Ribeye (14oz),STANDARD,WAS-000195,LOC-018,2025-01-24,6,23.0,138.0,EXPIRED_SHELF_LIFE
ITEM-057,Roasted Veal Chop Chanterelles,PROFITABLE_LOW_SELLING,WAS-000196,LOC-007,2025-11-16,6,22.0,132.0,EXPIRED_SHELF_LIFE
ITEM-086,Sesame Ahi Tuna Poke Bowl,HIGH_WASTAGE,WAS-000197,LOC-010,2025-01-28,4,10.2,40.8,EXPIRED_SHELF_LIFE
ITEM-120,Affogato al Caffe Espresso Scoop,PRICE_SENSITIVE,WAS-000198,LOC-001,2025-06-29,3,1.5,4.5,OVERPRODUCTION_UNSOLD
ITEM-119,Matcha Green Tea Crepe Cake,HIGH_WASTAGE,WAS-000199,LOC-004,2025-03-28,7,3.2,22.4,EXPIRED_SHELF_LIFE
ITEM-098,Avocado Supergreen Toast Sourdough,HIGH_WASTAGE,WAS-000200,LOC-011,2025-03-14,9,6.8,61.2,OVERPRODUCTION_UNSOLD
ITEM-078,Burrata Caprese Heirloom Salad,HIGH_WASTAGE,WAS-000201,LOC-015,2025-06-14,8,7.8,62.4,EXPIRED_SHELF_LIFE
ITEM-011,Spicy Tuna Crispy Rice,HIGH_WASTAGE,WAS-000202,LOC-015,2025-11-10,4,9.8,39.2,PREPARATION_ERROR
ITEM-027,Chipotle Fish Tacos (3pcs),HIGH_WASTAGE,WAS-000203,LOC-003,2025-07-25,3,8.7,26.1,EXPIRED_SHELF_LIFE
ITEM-122,Signature Smoked Old Fashioned,STANDARD,WAS-000204,LOC-019,2025-11-04,11,3.2,35.2,EXPIRED_SHELF_LIFE
ITEM-074,Fried Softshell Crab Basket,HIGH_WASTAGE,WAS-000205,LOC-020,2025-08-22,9,12.0,108.0,OVERPRODUCTION_UNSOLD
ITEM-005,Wild Alaskan Salmon Tartare,HIGH_WASTAGE,WAS-000206,LOC-014,2025-01-12,6,11.5,69.0,EXPIRED_SHELF_LIFE
ITEM-012,Heirloom Tomato Bruschetta,PRICE_SENSITIVE,WAS-000207,LOC-003,2025-03-29,5,4.2,21.0,EQUIPMENT_COOLER_FAILURE
ITEM-078,Burrata Caprese Heirloom Salad,HIGH_WASTAGE,WAS-000208,LOC-008,2025-03-27,4,7.8,31.2,EXPIRED_SHELF_LIFE
ITEM-003,Golden Mozzarella Sticks,POPULAR_LOW_MARGIN,WAS-000209,LOC-010,2025-10-11,4,7.1,28.4,EXPIRED_SHELF_LIFE
ITEM-027,Chipotle Fish Tacos (3pcs),HIGH_WASTAGE,WAS-000210,LOC-009,2025-08-20,11,8.7,95.7,OVERPRODUCTION_UNSOLD
ITEM-071,Steamed Blue Mussels White Wine,HIGH_WASTAGE,WAS-000211,LOC-015,2025-08-08,5,9.5,47.5,EXPIRED_SHELF_LIFE
ITEM-082,Wild Rice & Avocado Harvest Bowl,HIGH_WASTAGE,WAS-000212,LOC-009,2025-06-12,9,7.5,67.5,EQUIPMENT_COOLER_FAILURE
ITEM-078,Burrata Caprese Heirloom Salad,HIGH_WASTAGE,WAS-000213,LOC-004,2025-01-27,6,7.8,46.8,EXPIRED_SHELF_LIFE
ITEM-035,Black Truffle Tagliolini Caviar,PROFITABLE_LOW_SELLING,WAS-000214,LOC-012,2025-07-17,10,11.5,115.0,EXPIRED_SHELF_LIFE
ITEM-086,Sesame Ahi Tuna Poke Bowl,HIGH_WASTAGE,WAS-000215,LOC-019,2025-03-03,6,10.2,61.2,OVERPRODUCTION_UNSOLD
ITEM-039,Handcrafted Lobster Ravioli,HIGH_WASTAGE,WAS-000216,LOC-001,2025-07-05,4,11.2,44.8,OVERPRODUCTION_UNSOLD
ITEM-049,Colorado Rosemary Lamb Chops,STANDARD,WAS-000217,LOC-014,2025-10-15,4,19.5,78.0,OVERPRODUCTION_UNSOLD
ITEM-090,Warm Roasted Butternut Squash Bowl,STANDARD,WAS-000218,LOC-010,2025-08-15,8,4.5,36.0,EXPIRED_SHELF_LIFE
ITEM-078,Burrata Caprese Heirloom Salad,HIGH_WASTAGE,WAS-000219,LOC-001,2025-06-23,9,7.8,70.2,PREPARATION_ERROR
ITEM-111,Traditional Italian Tiramisu,STANDARD,WAS-000220,LOC-004,2025-10-02,8,3.2,25.6,EXPIRED_SHELF_LIFE
ITEM-078,Burrata Caprese Heirloom Salad,HIGH_WASTAGE,WAS-000221,LOC-010,2025-03-30,2,7.8,15.6,OVERPRODUCTION_UNSOLD
ITEM-072,Whole Grilled Red Snapper Mojo,HIGH_WASTAGE,WAS-000222,LOC-003,2025-09-22,12,17.5,210.0,OVERPRODUCTION_UNSOLD
ITEM-011,Spicy Tuna Crispy Rice,HIGH_WASTAGE,WAS-000223,LOC-016,2025-05-08,4,9.8,39.2,OVERCOOKED_OR_BURNT
