category,target_entity_type,target_entity_id,target_entity_name,recommended_action,reason_bullets,formatted_evidence,potential_business_impact,business_impact_rationale,priority,implementation_effort,recommendation_id
Investigate anomalous locations,Location,LOC-020,DineIQ Boston Back Bay (Boston),"Investigate Operational & Quality Anomalies at Location LOC-020 (DineIQ Boston Back Bay, Boston)","['Severe customer dissatisfaction: CSAT of only 63.9% (639 1-star reviews, 3.61 avg rating)', 'Excessive food wastage: $169,904.70 annual waste loss (22.8% waste rate)', 'Operating margin lag: contribution margin of 55.9% trails network high performers', 'High commercial exposure: $1,007,599.92 in location revenue subject to customer churn', 'Actionable audit protocol: conduct kitchen prep consistency review and staff service training']","Recommended Action:
  Investigate Operational & Quality Anomalies at Location LOC-020 (DineIQ Boston Back Bay, Boston)

Reason:
  * Severe customer dissatisfaction: CSAT of only 63.9% (639 1-star reviews, 3.61 avg rating)
  * Excessive food wastage: $169,904.70 annual waste loss (22.8% waste rate)
  * Operating margin lag: contribution margin of 55.9% trails network high performers
  * High commercial exposure: $1,007,599.92 in location revenue subject to customer churn
  * Actionable audit protocol: conduct kitchen prep consistency review and staff service training",108265.88,"Operational turnaround captures $108,265.88 through reduced spoilage and restored customer retention.",Critical,High,REC-056
Review ineffective promotions,Promotion,PROMO-003,Mega Feast 50% Off (Fine Print: $120 Min),Review and Immediately Restructure Ineffective Promotion: PROMO-003 ('Mega Feast 50% Off (Fine Print: $120 Min)'),"['Multi-trap promotion failure: triggered 3 of 5 distinct SRS Promotion Traps', 'Trap 1 (Sales Up, Profit Down): Revenue was $215,657.98, but profit margin contracted by 44.3% below baseline (11.7% vs 56.0%), yielding only $25,231.18 in net profit.', 'Trap 2 (Margin Collapse): Acquired high transaction volume (1,629 unique customers), but order margin collapsed to 11.7% due to aggressive discount absorption.', 'Trap 4 (Discount-Only Patrons): Extreme customer churn: 80.0% of promo patrons never returned after the discount expired (only 19.9% 30-day post-campaign retention).']","Recommended Action:
  Review and Immediately Restructure Ineffective Promotion: PROMO-003 ('Mega Feast 50% Off (Fine Print: $120 Min)')

Reason:
  * Multi-trap promotion failure: triggered 3 of 5 distinct SRS Promotion Traps
  * Trap 1 (Sales Up, Profit Down): Revenue was $215,657.98, but profit margin contracted by 44.3% below baseline (11.7% vs 56.0%), yielding only $25,231.18 in net profit.
  * Trap 2 (Margin Collapse): Acquired high transaction volume (1,629 unique customers), but order margin collapsed to 11.7% due to aggressive discount absorption.
  * Trap 4 (Discount-Only Patrons): Extreme customer churn: 80.0% of promo patrons never returned after the discount expired (only 19.9% 30-day post-campaign retention).",105000.0,"Halting profit margin dilution and excessive waste recovers ~$105,000.00 in net restaurant earnings.",Critical,Low,REC-051
Investigate anomalous locations,Location,LOC-015,DineIQ Bellevue Tech Plaza (Bellevue),"Investigate Operational & Quality Anomalies at Location LOC-015 (DineIQ Bellevue Tech Plaza, Bellevue)","['Severe customer dissatisfaction: CSAT of only 62.6% (675 1-star reviews, 3.56 avg rating)', 'Excessive food wastage: $161,231.50 annual waste loss (22.3% waste rate)', 'Operating margin lag: contribution margin of 55.8% trails network high performers', 'High commercial exposure: $990,464.07 in location revenue subject to customer churn', 'Actionable audit protocol: conduct kitchen prep consistency review and staff service training']","Recommended Action:
  Investigate Operational & Quality Anomalies at Location LOC-015 (DineIQ Bellevue Tech Plaza, Bellevue)

Reason:
  * Severe customer dissatisfaction: CSAT of only 62.6% (675 1-star reviews, 3.56 avg rating)
  * Excessive food wastage: $161,231.50 annual waste loss (22.3% waste rate)
  * Operating margin lag: contribution margin of 55.8% trails network high performers
  * High commercial exposure: $990,464.07 in location revenue subject to customer churn
  * Actionable audit protocol: conduct kitchen prep consistency review and staff service training",104111.16,"Operational turnaround captures $104,111.16 through reduced spoilage and restored customer retention.",Critical,High,REC-055
Investigate anomalous locations,Location,LOC-019,DineIQ Atlanta Midtown (Atlanta),"Investigate Operational & Quality Anomalies at Location LOC-019 (DineIQ Atlanta Midtown, Atlanta)","['Severe customer dissatisfaction: CSAT of only 62.2% (720 1-star reviews, 3.55 avg rating)', 'Excessive food wastage: $161,964.80 annual waste loss (22.8% waste rate)', 'Operating margin lag: contribution margin of 55.9% trails network high performers', 'High commercial exposure: $978,434.46 in location revenue subject to customer churn', 'Actionable audit protocol: conduct kitchen prep consistency review and staff service training']","Recommended Action:
  Investigate Operational & Quality Anomalies at Location LOC-019 (DineIQ Atlanta Midtown, Atlanta)

Reason:
  * Severe customer dissatisfaction: CSAT of only 62.2% (720 1-star reviews, 3.55 avg rating)
  * Excessive food wastage: $161,964.80 annual waste loss (22.8% waste rate)
  * Operating margin lag: contribution margin of 55.9% trails network high performers
  * High commercial exposure: $978,434.46 in location revenue subject to customer churn
  * Actionable audit protocol: conduct kitchen prep consistency review and staff service training",103923.3,"Operational turnaround captures $103,923.30 through reduced spoilage and restored customer retention.",Critical,High,REC-054
Reduce preparation quantity of high-wastage dishes,Menu Item,ITEM-064,Butter Poached Maine Lobster Tail,Reduce Daily Preparation Quantity of Item ITEM-064 (Butter Poached Maine Lobster Tail) by 27%,"['Severe inventory loss: $224,754.00 annual waste loss (9,564 portions discarded)', 'Excessive wastage rate: 45.7% of prepared portions discarded unserved', 'Short shelf-life constraint: 2 days before mandatory spoilage purge', 'Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor', 'Recurrent overproduction: 1,357 recorded spoilage incidents across locations']","Recommended Action:
  Reduce Daily Preparation Quantity of Item ITEM-064 (Butter Poached Maine Lobster Tail) by 27%

Reason:
  * Severe inventory loss: $224,754.00 annual waste loss (9,564 portions discarded)
  * Excessive wastage rate: 45.7% of prepared portions discarded unserved
  * Short shelf-life constraint: 2 days before mandatory spoilage purge
  * Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor
  * Recurrent overproduction: 1,357 recorded spoilage incidents across locations",60683.58,"Direct food cost savings of $60,683.58 by aligning prep buffers with actual consumer demand.",Critical,Medium,REC-010
Reduce preparation quantity of high-wastage dishes,Menu Item,ITEM-075,Seafood Bouillabaisse Saffron Rouille,Reduce Daily Preparation Quantity of Item ITEM-075 (Seafood Bouillabaisse Saffron Rouille) by 27%,"['Severe inventory loss: $152,047.50 annual waste loss (9,215 portions discarded)', 'Excessive wastage rate: 45.2% of prepared portions discarded unserved', 'Short shelf-life constraint: 2 days before mandatory spoilage purge', 'Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor', 'Recurrent overproduction: 1,309 recorded spoilage incidents across locations']","Recommended Action:
  Reduce Daily Preparation Quantity of Item ITEM-075 (Seafood Bouillabaisse Saffron Rouille) by 27%

Reason:
  * Severe inventory loss: $152,047.50 annual waste loss (9,215 portions discarded)
  * Excessive wastage rate: 45.2% of prepared portions discarded unserved
  * Short shelf-life constraint: 2 days before mandatory spoilage purge
  * Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor
  * Recurrent overproduction: 1,309 recorded spoilage incidents across locations",41052.83,"Direct food cost savings of $41,052.83 by aligning prep buffers with actual consumer demand.",Critical,Medium,REC-011
Reduce preparation quantity of high-wastage dishes,Menu Item,ITEM-066,Seared Diver Scallops Sweet Corn,Reduce Daily Preparation Quantity of Item ITEM-066 (Seared Diver Scallops Sweet Corn) by 27%,"['Severe inventory loss: $150,074.40 annual waste loss (8,933 portions discarded)', 'Excessive wastage rate: 46.3% of prepared portions discarded unserved', 'Short shelf-life constraint: 2 days before mandatory spoilage purge', 'Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor', 'Recurrent overproduction: 1,277 recorded spoilage incidents across locations']","Recommended Action:
  Reduce Daily Preparation Quantity of Item ITEM-066 (Seared Diver Scallops Sweet Corn) by 27%

Reason:
  * Severe inventory loss: $150,074.40 annual waste loss (8,933 portions discarded)
  * Excessive wastage rate: 46.3% of prepared portions discarded unserved
  * Short shelf-life constraint: 2 days before mandatory spoilage purge
  * Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor
  * Recurrent overproduction: 1,277 recorded spoilage incidents across locations",40520.09,"Direct food cost savings of $40,520.09 by aligning prep buffers with actual consumer demand.",Critical,Medium,REC-012
Reduce preparation quantity of high-wastage dishes,Menu Item,ITEM-072,Whole Grilled Red Snapper Mojo,Reduce Daily Preparation Quantity of Item ITEM-072 (Whole Grilled Red Snapper Mojo) by 25%,"['Severe inventory loss: $148,837.50 annual waste loss (8,505 portions discarded)', 'Excessive wastage rate: 41.8% of prepared portions discarded unserved', 'Short shelf-life constraint: 2 days before mandatory spoilage purge', 'Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor', 'Recurrent overproduction: 1,224 recorded spoilage incidents across locations']","Recommended Action:
  Reduce Daily Preparation Quantity of Item ITEM-072 (Whole Grilled Red Snapper Mojo) by 25%

Reason:
  * Severe inventory loss: $148,837.50 annual waste loss (8,505 portions discarded)
  * Excessive wastage rate: 41.8% of prepared portions discarded unserved
  * Short shelf-life constraint: 2 days before mandatory spoilage purge
  * Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor
  * Recurrent overproduction: 1,224 recorded spoilage incidents across locations",37209.38,"Direct food cost savings of $37,209.38 by aligning prep buffers with actual consumer demand.",Critical,Medium,REC-013
Reduce preparation quantity of high-wastage dishes,Menu Item,ITEM-062,Crispy Skin Mediterranean Branzino,Reduce Daily Preparation Quantity of Item ITEM-062 (Crispy Skin Mediterranean Branzino) by 25%,"['Severe inventory loss: $138,096.00 annual waste loss (8,631 portions discarded)', 'Excessive wastage rate: 42.7% of prepared portions discarded unserved', 'Short shelf-life constraint: 2 days before mandatory spoilage purge', 'Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor', 'Recurrent overproduction: 1,230 recorded spoilage incidents across locations']","Recommended Action:
  Reduce Daily Preparation Quantity of Item ITEM-062 (Crispy Skin Mediterranean Branzino) by 25%

Reason:
  * Severe inventory loss: $138,096.00 annual waste loss (8,631 portions discarded)
  * Excessive wastage rate: 42.7% of prepared portions discarded unserved
  * Short shelf-life constraint: 2 days before mandatory spoilage purge
  * Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor
  * Recurrent overproduction: 1,230 recorded spoilage incidents across locations",34524.0,"Direct food cost savings of $34,524.00 by aligning prep buffers with actual consumer demand.",Critical,Medium,REC-014
Reduce preparation quantity of high-wastage dishes,Menu Item,ITEM-067,Seafood Paella Valenciana,Reduce Daily Preparation Quantity of Item ITEM-067 (Seafood Paella Valenciana) by 25%,"['Severe inventory loss: $135,440.00 annual waste loss (8,465 portions discarded)', 'Excessive wastage rate: 42.0% of prepared portions discarded unserved', 'Short shelf-life constraint: 2 days before mandatory spoilage purge', 'Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor', 'Recurrent overproduction: 1,216 recorded spoilage incidents across locations']","Recommended Action:
  Reduce Daily Preparation Quantity of Item ITEM-067 (Seafood Paella Valenciana) by 25%

Reason:
  * Severe inventory loss: $135,440.00 annual waste loss (8,465 portions discarded)
  * Excessive wastage rate: 42.0% of prepared portions discarded unserved
  * Short shelf-life constraint: 2 days before mandatory spoilage purge
  * Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor
  * Recurrent overproduction: 1,216 recorded spoilage incidents across locations",33860.0,"Direct food cost savings of $33,860.00 by aligning prep buffers with actual consumer demand.",Critical,Medium,REC-015
Reduce preparation quantity of high-wastage dishes,Menu Item,ITEM-069,Grilled Yellowfin Ahi Tuna Steak,Reduce Daily Preparation Quantity of Item ITEM-069 (Grilled Yellowfin Ahi Tuna Steak) by 24%,"['Severe inventory loss: $130,713.60 annual waste loss (8,832 portions discarded)', 'Excessive wastage rate: 40.8% of prepared portions discarded unserved', 'Short shelf-life constraint: 2 days before mandatory spoilage purge', 'Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor', 'Recurrent overproduction: 1,258 recorded spoilage incidents across locations']","Recommended Action:
  Reduce Daily Preparation Quantity of Item ITEM-069 (Grilled Yellowfin Ahi Tuna Steak) by 24%

Reason:
  * Severe inventory loss: $130,713.60 annual waste loss (8,832 portions discarded)
  * Excessive wastage rate: 40.8% of prepared portions discarded unserved
  * Short shelf-life constraint: 2 days before mandatory spoilage purge
  * Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor
  * Recurrent overproduction: 1,258 recorded spoilage incidents across locations",31371.26,"Direct food cost savings of $31,371.26 by aligning prep buffers with actual consumer demand.",Critical,Medium,REC-016
Remove or redesign persistent Low Performers,Menu Item,ITEM-006,Soft-Shell Crab Sliders,Remove or Redesign Persistent Low Performer: ITEM-006 (Soft-Shell Crab Sliders),"['Severe slow-moving status: SMI score of 0.892 (Critical Slow-Moving Tier)', 'Depressed order volume: only 2,159 orders placed across entire network', 'Excessive food wastage: 72.7% wastage rate ($86,893.80 spoiled)', 'Prolonged inter-purchase gap: average 1.0 days elapsed between customer orders', 'Negative trajectory: quarterly order demand contracted by 30.9% (Q4 vs Q1)']","Recommended Action:
  Remove or Redesign Persistent Low Performer: ITEM-006 (Soft-Shell Crab Sliders)

Reason:
  * Severe slow-moving status: SMI score of 0.892 (Critical Slow-Moving Tier)
  * Depressed order volume: only 2,159 orders placed across entire network
  * Excessive food wastage: 72.7% wastage rate ($86,893.80 spoiled)
  * Prolonged inter-purchase gap: average 1.0 days elapsed between customer orders
  * Negative trajectory: quarterly order demand contracted by 30.9% (Q4 vs Q1)",96227.48,"Eliminating menu deadweight recovers $96,227.48 in waste and misallocated prep labor.",High,Medium,REC-037
Review ineffective promotions,Promotion,PROMO-010,Black Friday Week Blowout $20 Off,Review and Immediately Restructure Ineffective Promotion: PROMO-010 ('Black Friday Week Blowout $20 Off'),"['Multi-trap promotion failure: triggered 2 of 5 distinct SRS Promotion Traps', 'Trap 3 (Excess Wastage): Severe inventory spoilage during campaign: $64,671.35 in food loss (5,995 units wasted) due to kitchen overproduction and demand miscalculation.', 'Trap 4 (Discount-Only Patrons): Extreme customer churn: 75.7% of promo patrons never returned after the discount expired (only 24.3% 30-day post-campaign retention).']","Recommended Action:
  Review and Immediately Restructure Ineffective Promotion: PROMO-010 ('Black Friday Week Blowout $20 Off')

Reason:
  * Multi-trap promotion failure: triggered 2 of 5 distinct SRS Promotion Traps
  * Trap 3 (Excess Wastage): Severe inventory spoilage during campaign: $64,671.35 in food loss (5,995 units wasted) due to kitchen overproduction and demand miscalculation.
  * Trap 4 (Discount-Only Patrons): Extreme customer churn: 75.7% of promo patrons never returned after the discount expired (only 24.3% 30-day post-campaign retention).",70000.0,"Halting profit margin dilution and excessive waste recovers ~$70,000.00 in net restaurant earnings.",High,Low,REC-052
