item_id,item_name,category_id,category_name,base_price,cost_price,is_seasonal,is_active,quantity_sold,revenue,cost,contribution_margin,profit_percentage,customer_rating,repeat_purchase_rate,wastage_percentage,total_wastage_cost,promotion_dependency,sales_trend,weekend_order_ratio,location_sales_cv,demand_score,profit_score,quality_health_score,menu_classification,tricky_performance_cases
ITEM-094,Creamy Cashew Alfredo Tagliatelle,CAT-07,Vegan & Plant-Based Creations,19.0,5.8,False,True,7019,133361.0,40710.2,92650.8,69.47,3.63,0.0434,8.27,3671.4,0.3467,0.0,0.3586,0.235,0.309,0.676,0.76,Hidden Opportunity,Promotion-Dependent Dish
ITEM-096,Roasted Eggplant Harissa Shakshuka,CAT-07,Vegan & Plant-Based Creations,15.0,4.5,False,True,5692,85380.0,25614.0,59766.0,70.0,3.62,0.0364,12.11,3528.0,0.345,0.0,0.3646,0.254,0.246,0.587,0.726,Low Performer,Promotion-Dependent Dish; Weekend-Only Performer
ITEM-104,Golden Turmeric Lentil Soup Bowl,CAT-07,Vegan & Plant-Based Creations,9.99,2.8,False,True,10481,104705.19,29346.8,75358.39,71.97,3.65,0.0644,3.56,1083.6,0.3363,0.0,0.3678,0.264,0.479,0.64,0.81,Profit Driver,Weekend-Only Performer
ITEM-110,Fresh Wild Berry Pavlova,CAT-08,Handcrafted Desserts & Pastries,13.5,5.8,False,True,4564,61614.0,26471.2,35142.8,57.04,3.61,0.0357,66.87,53418.0,0.3415,0.0,0.3613,0.246,0.206,0.461,0.374,Low Performer,Weekend-Only Performer
ITEM-111,Traditional Italian Tiramisu,CAT-08,Handcrafted Desserts & Pastries,10.5,3.2,False,True,12406,130263.0,39699.2,90563.8,69.52,3.55,0.0799,5.97,2521.6,0.3414,0.0,0.3621,0.247,0.583,0.671,0.695,Profit Driver,Low-Rated Dish with High Sales; Weekend-Only Performer
ITEM-120,Affogato al Caffe Espresso Scoop,CAT-08,Handcrafted Desserts & Pastries,6.99,1.5,False,True,11752,82146.48,17628.0,64518.48,78.54,3.61,0.0725,2.38,430.5,0.3275,0.0,0.3633,0.252,0.542,0.639,0.777,Volume Driver,Weekend-Only Performer
ITEM-121,DineIQ House Draft Lager (Pint),CAT-09,Signature Cocktails & Mocktails,6.5,4.8,False,True,18672,121368.0,89625.6,31742.4,26.15,3.68,0.1077,0.94,854.4,0.3323,0.0,0.3539,0.256,0.864,0.313,0.856,Volume Driver,Highly Rated Dish with Poor Profitability
ITEM-126,Espresso Martini Vanilla Foam,CAT-09,Signature Cocktails & Mocktails,15.0,2.9,False,True,13514,202710.0,39190.6,163519.4,80.67,3.63,0.0794,3.01,1215.1,0.3521,0.0,0.3527,0.262,0.619,0.923,0.793,Profit Driver,Promotion-Dependent Dish
ITEM-145,Sparkling San Pellegrino (750ml),CAT-10,Specialty Coffee & Beverages,6.0,1.5,False,True,9613,57678.0,14419.5,43258.5,75.0,3.61,0.0544,1.36,199.5,0.3299,0.0,0.36,0.255,0.424,0.564,0.784,Volume Driver,Weekend-Only Performer
ITEM-147,Belgian Hot Chocolate Marshmallows,CAT-10,Specialty Coffee & Beverages,5.5,1.1,True,True,8632,47476.0,9495.2,37980.8,80.0,3.65,0.0585,2.08,201.3,0.331,0.0,0.3544,0.26,0.401,0.572,0.819,Volume Driver,Seasonal Item
ITEM-019,BBQ Pulled Pork Brioche,CAT-02,Artisanal Burgers & Handhelds,15.0,7.2,False,True,10995,164925.0,79164.0,85761.0,52.0,3.58,0.0725,5.46,4572.0,0.3375,0.0,0.3462,0.24,0.516,0.579,0.728,Volume Driver,Standard Performance Profile
ITEM-041,Calabrian Sausage Rigatoni,CAT-03,Wood-Fired Pizzas & Pastas,20.0,6.8,False,True,10528,210560.0,71590.4,138969.6,66.0,3.55,0.0635,5.21,3937.2,0.3484,0.0,0.3593,0.254,0.478,0.79,0.7,Profit Driver,Promotion-Dependent Dish
ITEM-047,Dry-Aged Tomahawk Ribeye (36oz),CAT-04,Prime Steaks & Butcher Cuts,125.0,38.0,False,True,987,123375.0,37506.0,85869.0,69.6,3.7,0.011,34.89,20102.0,0.3392,0.0,0.3274,0.372,0.023,0.658,0.664,Low Performer,Dish Performing Differently Across Locations; New Item with Insufficient History
ITEM-064,Butter Poached Maine Lobster Tail,CAT-05,Chef Specials & Seafood,52.0,23.5,False,True,2354,122408.0,55319.0,67089.0,54.81,3.58,0.0151,80.25,224754.0,0.343,0.0,0.3541,0.299,0.08,0.54,0.26,Low Performer,Dish Performing Differently Across Locations
ITEM-065,Jumbo Lump Crab Cakes (2pcs),CAT-05,Chef Specials & Seafood,32.0,15.0,False,True,5182,165824.0,77730.0,88094.0,53.13,3.43,0.0341,60.44,118740.0,0.3495,0.0,0.3571,0.296,0.223,0.591,0.234,Low Performer,Promotion-Dependent Dish; Dish Performing Differently Across Locations
ITEM-067,Seafood Paella Valenciana,CAT-05,Chef Specials & Seafood,35.0,16.0,False,True,5705,199675.0,91280.0,108395.0,54.29,3.74,0.0366,59.74,135440.0,0.3358,0.0,0.3531,0.263,0.247,0.652,0.548,Low Performer,Standard Performance Profile
ITEM-072,Whole Grilled Red Snapper Mojo,CAT-05,Chef Specials & Seafood,42.0,17.5,False,True,2091,87822.0,36592.5,51229.5,58.33,3.77,0.0129,80.27,148837.5,0.3594,0.0,0.3567,0.242,0.065,0.512,0.45,Low Performer,Promotion-Dependent Dish
ITEM-105,Artisanal Vegan Charcuterie Board,CAT-07,Vegan & Plant-Based Creations,26.0,8.5,False,True,2205,57330.0,18742.5,38587.5,67.31,3.38,0.0174,25.0,6247.5,0.3594,0.0,0.3573,0.305,0.081,0.517,0.406,Low Performer,Promotion-Dependent Dish; Dish Performing Differently Across Locations
ITEM-115,Pecan Pie Bourbon Whipped Cream,CAT-08,Handcrafted Desserts & Pastries,10.0,3.0,True,True,6181,61810.0,18543.0,43267.0,70.0,3.54,0.0366,9.24,1887.0,0.3344,0.0,0.3607,0.278,0.263,0.542,0.664,Low Performer,Dish Performing Differently Across Locations; Weekend-Only Performer; Seasonal Item
ITEM-125,Black Truffle Infused Manhattan,CAT-09,Signature Cocktails & Mocktails,28.0,4.5,False,True,1691,47348.0,7609.5,39738.5,83.93,3.75,0.0113,8.74,729.0,0.3248,0.0,0.3494,0.347,0.048,0.594,0.877,Low Performer,Highly Profitable but Rarely Purchased Dish; Dish Performing Differently Across Locations
ITEM-130,Classic Moscow Mule Copper Mug,CAT-09,Signature Cocktails & Mocktails,13.5,2.5,False,True,12499,168736.5,31247.5,137489.0,81.48,3.71,0.0811,1.14,360.0,0.3393,0.0,0.3609,0.271,0.589,0.855,0.885,Profit Driver,Weekend-Only Performer
ITEM-133,Rare Japanese Whisky Flight (3-pour),CAT-09,Signature Cocktails & Mocktails,55.0,14.0,False,True,1038,57090.0,14532.0,42558.0,74.55,3.68,0.0073,7.82,1232.0,0.3435,0.0,0.3561,0.365,0.016,0.56,0.813,Low Performer,Highly Profitable but Rarely Purchased Dish; Dish Performing Differently Across Locations; New Item with Insufficient History
ITEM-140,Caramel Macchiato Sea Salt,CAT-10,Specialty Coffee & Beverages,5.99,1.25,False,True,16236,97253.64,20295.0,76958.64,79.13,3.59,0.0972,1.13,231.25,0.3345,0.0,0.3558,0.258,0.756,0.676,0.765,Profit Driver,Standard Performance Profile
ITEM-148,Cold Pressed Green Detox Juice,CAT-10,Specialty Coffee & Beverages,8.5,4.1,False,True,5699,48441.5,23365.9,25075.6,51.76,3.57,0.0367,60.87,36346.5,0.3389,0.0,0.3371,0.276,0.247,0.41,0.371,Low Performer,Dish Performing Differently Across Locations
ITEM-010,Smoked Duck Croquettes,CAT-01,Appetizers & Small Plates,15.4,7.0,False,True,6066,97056.0,42462.0,54594.0,56.25,3.57,0.0418,12.99,6342.0,0.3484,0.0,0.3666,0.266,0.273,0.512,0.671,Low Performer,Promotion-Dependent Dish; Weekend-Only Performer
ITEM-015,Bacon Wrapped Stuffed Dates,CAT-01,Appetizers & Small Plates,13.5,5.2,False,True,7147,96484.5,37164.4,59320.1,61.48,3.64,0.044,6.39,2537.6,0.3392,0.0,0.3624,0.257,0.314,0.548,0.782,Low Performer,Weekend-Only Performer
ITEM-025,Philly Ribeye Cheesesteak,CAT-02,Artisanal Burgers & Handhelds,18.0,9.2,False,True,9285,167130.0,85422.0,81708.0,48.89,3.69,0.0629,7.52,6946.0,0.346,0.0,0.3615,0.264,0.434,0.554,0.825,Volume Driver,Promotion-Dependent Dish; Weekend-Only Performer
ITEM-028,Cubano Roast Pork Sandwich,CAT-02,Artisanal Burgers & Handhelds,15.5,7.2,False,True,6504,100812.0,46828.8,53983.2,53.55,3.68,0.0392,7.1,3578.4,0.3422,0.0,0.3667,0.297,0.281,0.498,0.818,Low Performer,Dish Performing Differently Across Locations; Weekend-Only Performer
ITEM-043,Burrata Caprese Pizza,CAT-03,Wood-Fired Pizzas & Pastas,20.5,8.5,False,True,7052,144566.0,59942.0,84624.0,58.54,3.65,0.0451,50.89,62118.0,0.3451,0.0,0.3476,0.286,0.314,0.605,0.514,Low Performer,Promotion-Dependent Dish; Dish Performing Differently Across Locations
ITEM-046,USDA Prime Center-Cut Filet Mignon (8oz),CAT-04,Prime Steaks & Butcher Cuts,48.0,24.5,False,True,7328,351744.0,179536.0,172208.0,48.96,3.52,0.0522,9.8,19502.0,0.3375,0.0,0.3505,0.232,0.341,0.806,0.641,Low Performer,Standard Performance Profile
ITEM-053,Smoked Bone-in Kurobuta Pork Chop,CAT-04,Prime Steaks & Butcher Cuts,34.0,13.8,False,True,4575,155550.0,63135.0,92415.0,59.41,3.7,0.0273,14.42,10639.8,0.3341,0.0,0.3518,0.271,0.185,0.631,0.792,Low Performer,Standard Performance Profile
ITEM-054,Coffee-Crusted Prime Ribeye (14oz),CAT-04,Prime Steaks & Butcher Cuts,52.0,23.0,False,True,5491,285532.0,126293.0,159239.0,55.77,3.53,0.0361,12.37,17825.0,0.3345,0.0,0.363,0.26,0.239,0.8,0.635,Low Performer,Weekend-Only Performer
ITEM-058,BBQ Glazed St. Louis Ribs (Full),CAT-04,Prime Steaks & Butcher Cuts,31.0,14.0,False,True,8732,270692.0,122248.0,148444.0,54.84,3.56,0.0606,6.69,8764.0,0.341,0.0,0.3628,0.279,0.41,0.766,0.7,Volume Driver,Dish Performing Differently Across Locations; Weekend-Only Performer
ITEM-061,Pan-Seared Chilean Sea Bass,CAT-05,Chef Specials & Seafood,46.0,18.5,False,True,3167,145682.0,58589.5,87092.5,59.78,3.58,0.0298,29.64,24679.0,0.3535,0.0,0.3586,0.27,0.144,0.618,0.577,Low Performer,Promotion-Dependent Dish
ITEM-077,Mediterranean Quinoa Crunch Bowl,CAT-06,Farm-Fresh Salads & Grain Bowls,14.5,5.2,False,True,11327,164241.5,58900.4,105341.1,64.14,3.66,0.0706,5.59,3489.2,0.3374,0.0,0.3617,0.231,0.523,0.688,0.807,Profit Driver,Weekend-Only Performer
ITEM-078,Burrata Caprese Heirloom Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,16.5,7.8,False,True,6678,110187.0,52088.4,58098.6,52.73,3.47,0.0426,55.78,65699.4,0.3369,0.0,0.3548,0.256,0.295,0.506,0.303,Low Performer,Standard Performance Profile
ITEM-084,Kale Tahini Caesar Roasted Chickpeas,CAT-06,Farm-Fresh Salads & Grain Bowls,13.99,4.9,False,True,7879,110227.21,38607.1,71620.11,64.97,3.6,0.049,7.05,2930.2,0.3395,0.0,0.3609,0.247,0.352,0.598,0.738,Low Performer,Weekend-Only Performer
ITEM-088,Simple Garden House Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,8.99,3.2,False,True,13341,119935.59,42691.2,77244.39,64.4,3.6,0.0826,4.53,2025.6,0.3405,0.0,0.3578,0.271,0.621,0.611,0.754,Profit Driver,Standard Performance Profile
ITEM-103,Korean Gochujang Crispy Tofu,CAT-07,Vegan & Plant-Based Creations,14.5,4.4,False,True,7193,104298.5,31649.2,72649.3,69.66,3.75,0.0458,7.29,2490.4,0.3413,0.0,0.3417,0.261,0.321,0.622,0.887,Low Performer,Standard Performance Profile
ITEM-112,Salted Caramel Creme Brulee,CAT-08,Handcrafted Desserts & Pastries,11.0,3.1,False,True,11093,122023.0,34388.3,87634.7,71.82,3.55,0.0676,7.23,2678.4,0.3291,0.0,0.3512,0.272,0.507,0.673,0.687,Profit Driver,Low-Rated Dish with High Sales
ITEM-119,Matcha Green Tea Crepe Cake,CAT-08,Handcrafted Desserts & Pastries,11.5,3.2,False,True,5100,58650.0,16320.0,42330.0,72.17,3.56,0.0341,60.77,25280.0,0.34,0.0,0.3432,0.253,0.22,0.549,0.362,Low Performer,Highly Profitable but Rarely Purchased Dish
ITEM-127,Zero-Proof Cucumber Mint Cooler,CAT-09,Signature Cocktails & Mocktails,8.5,1.6,False,True,10809,91876.5,17294.4,74582.1,81.18,3.64,0.0642,4.99,908.8,0.3465,0.0,0.3611,0.253,0.489,0.679,0.791,Volume Driver,Promotion-Dependent Dish; Weekend-Only Performer
ITEM-128,Hibiscus Berry Botanical Fizz (Mocktail),CAT-09,Signature Cocktails & Mocktails,8.99,1.8,False,True,9751,87661.49,17551.8,70109.69,79.98,3.65,0.0633,4.81,887.4,0.344,0.0,0.3476,0.232,0.451,0.661,0.802,Volume Driver,Standard Performance Profile
ITEM-132,Aperol Spritz Prosecco Orange,CAT-09,Signature Cocktails & Mocktails,13.99,2.6,False,True,14019,196125.81,36449.4,159676.41,81.42,3.57,0.0896,1.61,595.4,0.3304,0.0,0.3513,0.249,0.662,0.916,0.742,Profit Driver,Standard Performance Profile
ITEM-136,DineIQ House Drip Roast Coffee,CAT-10,Specialty Coffee & Beverages,3.99,0.6,False,True,21480,85705.2,12888.0,72817.2,84.96,3.61,0.1239,0.34,44.4,0.3381,0.0,0.3574,0.244,1.0,0.691,0.79,Volume Driver,Standard Performance Profile
ITEM-137,Nitro Cold Brew Sweet Cream,CAT-10,Specialty Coffee & Beverages,5.99,1.1,False,True,15570,93264.3,17127.0,76137.3,81.64,3.63,0.097,1.17,203.5,0.3323,0.0,0.3541,0.247,0.733,0.685,0.805,Profit Driver,Standard Performance Profile
ITEM-143,Organic Earl Grey Loose Leaf Tea,CAT-10,Specialty Coffee & Beverages,4.25,0.45,False,True,9333,39665.25,4199.85,35465.4,89.41,3.51,0.0625,1.21,51.3,0.3317,0.0,0.3651,0.25,0.435,0.607,0.685,Volume Driver,Weekend-Only Performer
ITEM-009,Truffle Whipped Burrata,CAT-01,Appetizers & Small Plates,17.16,7.8,False,True,9274,162295.0,72337.2,89957.8,55.43,3.64,0.0601,9.99,8026.2,0.3343,0.0,0.3446,0.24,0.427,0.606,0.76,Volume Driver,Standard Performance Profile
ITEM-012,Heirloom Tomato Bruschetta,CAT-01,Appetizers & Small Plates,22.5,15.0,False,True,11145,128167.5,167175.0,-39007.5,-30.43,3.63,0.069,7.66,3880.8,0.3384,0.0,0.348,0.247,0.513,0.0,0.764,Low Performer,High-Selling Loss-Making Dish
ITEM-016,DineIQ Smash Double Cheeseburger,CAT-02,Artisanal Burgers & Handhelds,13.99,10.8,False,True,19852,277729.48,214401.6,63327.88,22.8,3.68,0.1155,2.55,5616.0,0.3385,0.0,0.3505,0.253,0.924,0.386,0.846,Volume Driver,Highly Rated Dish with Poor Profitability
ITEM-017,Crispy Buttermilk Chicken Sandwich,CAT-02,Artisanal Burgers & Handhelds,14.5,11.0,False,True,17296,250792.0,190256.0,60536.0,24.14,3.63,0.1024,3.23,6347.0,0.3423,0.0,0.3533,0.247,0.805,0.384,0.792,Volume Driver,Standard Performance Profile
ITEM-024,Portobello Mushroom Swiss Burger,CAT-02,Artisanal Burgers & Handhelds,15.0,5.8,False,True,6105,91575.0,35409.0,56166.0,61.33,3.61,0.0395,10.31,4071.6,0.3355,0.0,0.3629,0.273,0.268,0.539,0.728,Low Performer,Weekend-Only Performer
ITEM-026,Classic BLT Sourdough,CAT-02,Artisanal Burgers & Handhelds,11.99,4.8,False,True,11174,133976.26,53635.2,80341.06,59.97,3.7,0.0741,5.74,3268.8,0.3384,0.0,0.357,0.262,0.527,0.6,0.846,Volume Driver,Standard Performance Profile
ITEM-033,Quattro Formaggi Bianca,CAT-03,Wood-Fired Pizzas & Pastas,18.0,7.5,False,True,11322,203796.0,84915.0,118881.0,58.33,3.58,0.0787,4.42,3922.5,0.3417,0.0,0.3591,0.265,0.543,0.699,0.734,Volume Driver,Standard Performance Profile
ITEM-035,Black Truffle Tagliolini Caviar,CAT-03,Wood-Fired Pizzas & Pastas,42.0,11.5,False,True,1799,75558.0,20688.5,54869.5,72.62,3.67,0.011,29.42,8625.0,0.3525,0.0,0.3781,0.319,0.051,0.586,0.668,Low Performer,Highly Profitable but Rarely Purchased Dish; Promotion-Dependent Dish; Dish Performing Differently Across Locations; Weekend-Only Performer
ITEM-039,Handcrafted Lobster Ravioli,CAT-03,Wood-Fired Pizzas & Pastas,29.5,11.2,False,True,4729,139505.5,52964.8,86540.7,62.03,3.66,0.0295,63.98,94080.0,0.3232,0.0,0.3418,0.281,0.196,0.626,0.442,Low Performer,Dish Performing Differently Across Locations
ITEM-044,Lasagna Bolognese Al Forno,CAT-03,Wood-Fired Pizzas & Pastas,21.0,7.9,False,True,9867,207207.0,77949.3,129257.7,62.38,3.58,0.0618,4.45,3626.1,0.3317,0.0,0.351,0.244,0.451,0.746,0.734,Profit Driver,Standard Performance Profile
ITEM-056,Pan-Roasted Duck Breast Plum Glaze,CAT-04,Prime Steaks & Butcher Cuts,35.0,14.0,False,True,3768,131880.0,52752.0,79128.0,60.0,3.66,0.0265,24.49,17108.0,0.355,0.0,0.3466,0.319,0.156,0.597,0.689,Low Performer,Promotion-Dependent Dish; Dish Performing Differently Across Locations
ITEM-069,Grilled Yellowfin Ahi Tuna Steak,CAT-05,Chef Specials & Seafood,33.0,14.8,False,True,4608,152064.0,68198.4,83865.6,55.15,3.69,0.0246,65.71,130713.6,0.3325,0.0,0.3607,0.243,0.18,0.588,0.461,Low Performer,Weekend-Only Performer
ITEM-071,Steamed Blue Mussels White Wine,CAT-05,Chef Specials & Seafood,22.0,9.5,False,True,5842,128524.0,55499.0,73025.0,56.82,3.65,0.0366,60.05,83429.0,0.3414,0.0,0.3729,0.275,0.252,0.565,0.456,Low Performer,Dish Performing Differently Across Locations; Weekend-Only Performer
ITEM-082,Wild Rice & Avocado Harvest Bowl,CAT-06,Farm-Fresh Salads & Grain Bowls,15.5,7.5,False,True,7758,120249.0,58185.0,62064.0,51.61,3.6,0.0494,52.68,64785.0,0.3342,0.0,0.3467,0.236,0.349,0.512,0.453,Low Performer,Standard Performance Profile
ITEM-083,Classic Greek Village Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,13.5,4.8,False,True,10644,143694.0,51091.2,92602.8,64.44,3.56,0.0662,6.45,3523.2,0.3378,0.0,0.3606,0.272,0.489,0.654,0.702,Profit Driver,Weekend-Only Performer
ITEM-085,Blackened Salmon Cobb Salad,CAT-06,Farm-Fresh Salads & Grain Bowls,21.0,9.8,False,True,8918,187278.0,87396.4,99881.6,53.33,3.66,0.0566,9.99,9702.0,0.3361,0.0,0.3659,0.244,0.406,0.624,0.78,Volume Driver,Weekend-Only Performer
ITEM-087,Green Goddess Farro Bowl,CAT-06,Farm-Fresh Salads & Grain Bowls,14.5,4.8,False,True,6123,88783.5,29390.4,59393.1,66.9,3.59,0.0362,9.97,3254.4,0.34,0.0,0.3597,0.273,0.26,0.573,0.71,Low Performer,Standard Performance Profile
ITEM-090,Warm Roasted Butternut Squash Bowl,CAT-06,Farm-Fresh Salads & Grain Bowls,14.0,4.5,True,True,4526,63364.0,20367.0,42997.0,67.86,3.77,0.0294,15.16,3640.5,0.3451,0.0,0.3702,0.277,0.189,0.531,0.857,Low Performer,Promotion-Dependent Dish; Dish Performing Differently Across Locations; Weekend-Only Performer; Seasonal Item
ITEM-101,Thai Coconut Green Curry Tofu,CAT-07,Vegan & Plant-Based Creations,18.0,5.5,False,True,8270,148860.0,45485.0,103375.0,69.44,3.73,0.0609,7.45,3663.0,0.3321,0.0,0.3569,0.262,0.395,0.706,0.866,Hidden Opportunity,Standard Performance Profile
ITEM-102,Mushroom & Walnut Bolognese,CAT-07,Vegan & Plant-Based Creations,18.5,5.6,False,True,6663,123265.5,37312.8,85952.7,69.73,3.55,0.0405,9.7,4009.6,0.3435,0.0,0.3542,0.27,0.289,0.659,0.671,Hidden Opportunity,Standard Performance Profile
ITEM-109,Warm Apple Cinnamon Crisp,CAT-08,Handcrafted Desserts & Pastries,9.5,2.8,True,True,9333,88663.5,26132.4,62531.1,70.53,3.59,0.0598,6.92,1943.2,0.337,0.0,0.3581,0.279,0.428,0.598,0.729,Volume Driver,Dish Performing Differently Across Locations; Seasonal Item
ITEM-138,Double Espresso Single Origin,CAT-10,Specialty Coffee & Beverages,3.5,0.5,False,True,16318,57113.0,8159.0,48954.0,85.71,3.61,0.0947,0.61,50.0,0.3358,0.0,0.3498,0.261,0.752,0.628,0.788,Volume Driver,Standard Performance Profile
ITEM-141,Ceremonial Iced Matcha Latte,CAT-10,Specialty Coffee & Beverages,6.5,1.4,False,True,11200,72800.0,15680.0,57120.0,78.46,3.64,0.0666,1.91,305.2,0.3294,0.0,0.354,0.254,0.508,0.618,0.81,Volume Driver,Standard Performance Profile
ITEM-142,Spiced Masala Chai Latte,CAT-10,Specialty Coffee & Beverages,5.25,0.9,False,True,10614,55723.5,9552.6,46170.9,82.86,3.6,0.0693,1.31,126.9,0.3389,0.0,0.3562,0.276,0.495,0.607,0.774,Volume Driver,Dish Performing Differently Across Locations
ITEM-146,Acai Berry Superfood Smoothie,CAT-10,Specialty Coffee & Beverages,7.99,3.4,False,True,8284,66189.16,28165.6,38023.56,57.45,3.61,0.0515,49.72,27849.4,0.3391,0.0,0.3513,0.26,0.372,0.471,0.481,Low Performer,Standard Performance Profile
ITEM-002,Classic Buffalo Chicken Wings,CAT-01,Appetizers & Small Plates,14.5,11.2,False,True,16816,243832.0,188339.2,55492.8,22.76,3.52,0.1018,3.08,5980.8,0.3387,0.0,0.3598,0.261,0.787,0.364,0.683,Volume Driver,Low-Rated Dish with High Sales
ITEM-004,Garlic Herb Breadsticks,CAT-01,Appetizers & Small Plates,6.99,4.8,False,True,15312,107030.88,73497.6,33533.28,31.33,3.56,0.0931,2.3,1728.0,0.3435,0.0,0.3534,0.259,0.714,0.342,0.728,Volume Driver,Low-Rated Dish with High Sales
ITEM-045,Linguine alle Vongole (Clams),CAT-03,Wood-Fired Pizzas & Pastas,25.0,12.0,False,True,4139,103475.0,49668.0,53807.0,52.0,3.57,0.0284,68.85,109764.0,0.3431,0.0,0.3494,0.311,0.174,0.49,0.321,Low Performer,Dish Performing Differently Across Locations
ITEM-055,Steakhouse Flat Iron Chimichurri,CAT-04,Prime Steaks & Butcher Cuts,26.5,13.2,False,True,9726,257739.0,128383.2,129355.8,50.19,3.58,0.0615,6.46,8870.4,0.3383,0.0,0.353,0.256,0.446,0.692,0.722,Volume Driver,Standard Performance Profile
ITEM-060,Pepper-Crusted Bison Tenderloin,CAT-04,Prime Steaks & Butcher Cuts,58.0,25.0,False,True,1145,66410.0,28625.0,37785.0,56.9,3.48,0.0093,42.0,20725.0,0.366,0.0,0.3522,0.353,0.024,0.468,0.399,Low Performer,Promotion-Dependent Dish; Dish Performing Differently Across Locations; New Item with Insufficient History
ITEM-068,Classic Fish & Chips Tartar,CAT-05,Chef Specials & Seafood,19.99,14.5,False,True,15137,302588.63,219486.5,83102.13,27.46,3.63,0.0925,3.7,8424.5,0.3325,0.0,0.359,0.244,0.707,0.462,0.789,Volume Driver,Standard Performance Profile
ITEM-074,Fried Softshell Crab Basket,CAT-05,Chef Specials & Seafood,26.0,12.0,False,True,3540,92040.0,42480.0,49560.0,53.85,3.72,0.0297,70.6,102012.0,0.3299,0.0,0.3507,0.307,0.157,0.487,0.46,Low Performer,Dish Performing Differently Across Locations
ITEM-075,Seafood Bouillabaisse Saffron Rouille,CAT-05,Chef Specials & Seafood,37.0,16.5,False,True,2939,108743.0,48493.5,60249.5,55.41,3.35,0.0206,75.82,152047.5,0.3205,0.0,0.342,0.321,0.113,0.524,0.058,Low Performer,Dish Performing Differently Across Locations
