item_id,category_id,name,description,base_price,cost_price,margin_pct,is_vegetarian,is_gluten_free,is_alcohol,prep_time_minutes,shelf_life_days,is_seasonal,complexity_profile,popularity_weight,wastage_risk_score,elasticity_score,is_active
ITEM-013,CAT-01,Loaded Queso Nachos,DineIQ signature loaded queso nachos crafted with premium ingredients.,12.99,5.5,57.66,True,True,False,8,10,False,STANDARD,2.4,0.2,0.45,True
ITEM-014,CAT-01,Spanakopita Herb Triangles,DineIQ signature spanakopita herb triangles crafted with premium ingredients.,11.0,4.5,59.09,True,False,False,10,7,False,STANDARD,1.1,0.3,0.4,True
ITEM-015,CAT-01,Bacon Wrapped Stuffed Dates,DineIQ signature bacon wrapped stuffed dates crafted with premium ingredients.,13.5,5.2,61.48,False,True,False,9,7,False,STANDARD,1.4,0.25,0.4,True
ITEM-016,CAT-02,DineIQ Smash Double Cheeseburger,DineIQ signature dineiq smash double cheeseburger crafted with premium ingredients.,13.99,10.8,22.8,False,False,False,10,5,False,POPULAR_LOW_MARGIN,3.8,0.3,0.7,True
ITEM-017,CAT-02,Crispy Buttermilk Chicken Sandwich,DineIQ signature crispy buttermilk chicken sandwich crafted with premium ingredients.,14.5,11.0,24.14,False,False,False,12,5,False,POPULAR_LOW_MARGIN,3.4,0.3,0.65,True
ITEM-018,CAT-02,Prime Wagyu Truffle Burger,DineIQ signature prime wagyu truffle burger crafted with premium ingredients.,28.0,11.5,58.93,False,False,False,14,4,False,PROFITABLE_LOW_SELLING,0.8,0.45,0.45,True
ITEM-019,CAT-02,BBQ Pulled Pork Brioche,DineIQ signature bbq pulled pork brioche crafted with premium ingredients.,15.0,7.2,52.0,False,False,False,8,6,False,STANDARD,2.1,0.35,0.5,True
ITEM-020,CAT-02,Spicy Nashville Hot Chicken Bun,DineIQ signature spicy nashville hot chicken bun crafted with premium ingredients.,15.5,7.5,51.61,False,False,False,12,5,False,STANDARD,2.5,0.3,0.55,True
ITEM-021,CAT-02,California Turkey Avocado Club,DineIQ signature california turkey avocado club crafted with premium ingredients.,16.0,8.9,44.38,False,False,False,9,3,False,HIGH_WASTAGE,1.6,0.75,0.5,True
ITEM-022,CAT-02,Black Angus Bacon Cheddar,DineIQ signature black angus bacon cheddar crafted with premium ingredients.,17.5,8.0,54.29,False,False,False,12,5,False,STANDARD,2.6,0.35,0.5,True
ITEM-023,CAT-02,Smoked Brisket Panini,DineIQ signature smoked brisket panini crafted with premium ingredients.,17.0,8.2,51.76,False,False,False,10,5,False,STANDARD,1.5,0.3,0.45,True
ITEM-024,CAT-02,Portobello Mushroom Swiss Burger,DineIQ signature portobello mushroom swiss burger crafted with premium ingredients.,15.0,5.8,61.33,True,False,False,11,4,False,STANDARD,1.2,0.4,0.5,True
ITEM-025,CAT-02,Philly Ribeye Cheesesteak,DineIQ signature philly ribeye cheesesteak crafted with premium ingredients.,18.0,9.2,48.89,False,False,False,11,4,False,STANDARD,1.8,0.4,0.5,True
ITEM-026,CAT-02,Classic BLT Sourdough,DineIQ signature classic blt sourdough crafted with premium ingredients.,11.99,4.8,59.97,False,False,False,7,4,False,PRICE_SENSITIVE,2.2,0.35,0.8,True
ITEM-027,CAT-02,Chipotle Fish Tacos (3pcs),DineIQ signature chipotle fish tacos (3pcs) crafted with premium ingredients.,16.5,8.7,47.27,False,True,False,10,2,False,HIGH_WASTAGE,1.4,0.8,0.55,True
ITEM-028,CAT-02,Cubano Roast Pork Sandwich,DineIQ signature cubano roast pork sandwich crafted with premium ingredients.,15.5,7.2,53.55,False,False,False,11,5,False,STANDARD,1.3,0.25,0.45,True
ITEM-029,CAT-02,Truffle Lobster Roll,DineIQ signature truffle lobster roll crafted with premium ingredients.,34.0,14.5,57.35,False,False,False,8,2,False,PROFITABLE_LOW_SELLING,0.4,0.85,0.4,True
ITEM-030,CAT-02,Grilled Halloumi Flatbread,DineIQ signature grilled halloumi flatbread crafted with premium ingredients.,14.0,5.5,60.71,True,False,False,9,5,False,STANDARD,1.0,0.35,0.45,True
ITEM-031,CAT-03,Margherita Sourdough Pizza,DineIQ signature margherita sourdough pizza crafted with premium ingredients.,15.99,12.0,24.95,True,False,False,11,5,False,POPULAR_LOW_MARGIN,3.7,0.25,0.7,True
ITEM-032,CAT-03,Double Pepperoni Hot Honey Pizza,DineIQ signature double pepperoni hot honey pizza crafted with premium ingredients.,18.5,13.8,25.41,False,False,False,12,6,False,POPULAR_LOW_MARGIN,3.6,0.25,0.65,True
ITEM-033,CAT-03,Quattro Formaggi Bianca,DineIQ signature quattro formaggi bianca crafted with premium ingredients.,18.0,7.5,58.33,True,False,False,11,5,False,STANDARD,2.2,0.3,0.45,True
ITEM-034,CAT-03,Prosciutto e Rucola Pizza,DineIQ signature prosciutto e rucola pizza crafted with premium ingredients.,21.0,9.8,53.33,False,False,False,12,3,False,HIGH_WASTAGE,1.5,0.7,0.5,True
ITEM-035,CAT-03,Black Truffle Tagliolini Caviar,DineIQ signature black truffle tagliolini caviar crafted with premium ingredients.,42.0,11.5,72.62,True,False,False,14,5,False,PROFITABLE_LOW_SELLING,0.35,0.45,0.35,True
ITEM-036,CAT-03,Slow-Braised Wild Boar Pappardelle,DineIQ signature slow-braised wild boar pappardelle crafted with premium ingredients.,26.0,9.5,63.46,False,False,False,15,5,False,STANDARD,1.1,0.35,0.4,True
ITEM-037,CAT-03,Spaghetti All'Amatriciana,DineIQ signature spaghetti all'amatriciana crafted with premium ingredients.,17.5,5.5,68.57,False,False,False,12,6,False,PRICE_SENSITIVE,2.4,0.25,0.75,True
ITEM-038,CAT-03,Creamy Fettuccine Alfredo,DineIQ signature creamy fettuccine alfredo crafted with premium ingredients.,16.99,5.2,69.39,True,False,False,11,6,False,PRICE_SENSITIVE,2.8,0.2,0.8,True
ITEM-039,CAT-03,Handcrafted Lobster Ravioli,DineIQ signature handcrafted lobster ravioli crafted with premium ingredients.,29.5,11.2,62.03,False,False,False,13,3,False,HIGH_WASTAGE,0.9,0.82,0.45,True
ITEM-040,CAT-03,Truffled Wild Mushroom Gnocchi,DineIQ signature truffled wild mushroom gnocchi crafted with premium ingredients.,22.0,7.8,64.55,True,False,False,12,4,False,STANDARD,1.6,0.4,0.45,True
ITEM-041,CAT-03,Calabrian Sausage Rigatoni,DineIQ signature calabrian sausage rigatoni crafted with premium ingredients.,20.0,6.8,66.0,False,False,False,13,5,False,STANDARD,2.0,0.3,0.5,True
ITEM-042,CAT-03,Spicy Diavola Pizza,DineIQ signature spicy diavola pizza crafted with premium ingredients.,19.0,6.9,63.68,False,False,False,12,5,False,STANDARD,2.3,0.25,0.55,True
ITEM-043,CAT-03,Burrata Caprese Pizza,DineIQ signature burrata caprese pizza crafted with premium ingredients.,20.5,8.5,58.54,True,False,False,11,3,False,HIGH_WASTAGE,1.4,0.75,0.5,True
ITEM-044,CAT-03,Lasagna Bolognese Al Forno,DineIQ signature lasagna bolognese al forno crafted with premium ingredients.,21.0,7.9,62.38,False,False,False,16,5,False,STANDARD,1.9,0.25,0.45,True
ITEM-045,CAT-03,Linguine alle Vongole (Clams),DineIQ signature linguine alle vongole (clams) crafted with premium ingredients.,25.0,12.0,52.0,False,False,False,14,2,False,HIGH_WASTAGE,0.8,0.9,0.55,True
ITEM-046,CAT-04,USDA Prime Center-Cut Filet Mignon (8oz),DineIQ signature usda prime center-cut filet mignon (8oz) crafted with premium ingredients.,48.0,24.5,48.96,False,True,False,18,5,False,STANDARD,1.4,0.4,0.4,True
ITEM-047,CAT-04,Dry-Aged Tomahawk Ribeye (36oz),DineIQ signature dry-aged tomahawk ribeye (36oz) crafted with premium ingredients.,125.0,38.0,69.6,False,True,False,25,6,False,PROFITABLE_LOW_SELLING,0.18,0.35,0.3,True
ITEM-048,CAT-04,Dry-Aged Bone-in NY Strip (16oz),DineIQ signature dry-aged bone-in ny strip (16oz) crafted with premium ingredients.,56.0,26.0,53.57,False,True,False,20,5,False,STANDARD,0.9,0.4,0.38,True
ITEM-049,CAT-04,Colorado Rosemary Lamb Chops,DineIQ signature colorado rosemary lamb chops crafted with premium ingredients.,44.0,19.5,55.68,False,True,False,17,4,False,STANDARD,0.8,0.5,0.42,True
ITEM-050,CAT-04,Slow-Braised Beef Short Ribs,DineIQ signature slow-braised beef short ribs crafted with premium ingredients.,36.0,14.5,59.72,False,True,False,15,6,False,STANDARD,1.6,0.3,0.45,True
ITEM-051,CAT-04,A5 Miyazaki Japanese Wagyu (4oz),DineIQ signature a5 miyazaki japanese wagyu (4oz) crafted with premium ingredients.,95.0,32.0,66.32,False,True,False,12,5,False,PROFITABLE_LOW_SELLING,0.12,0.4,0.25,True
ITEM-052,CAT-04,Steak Frites Garlic Herb Butter,DineIQ signature steak frites garlic herb butter crafted with premium ingredients.,29.99,18.5,38.31,False,True,False,15,5,False,POPULAR_LOW_MARGIN,2.7,0.35,0.65,True
ITEM-053,CAT-04,Smoked Bone-in Kurobuta Pork Chop,DineIQ signature smoked bone-in kurobuta pork chop crafted with premium ingredients.,34.0,13.8,59.41,False,True,False,18,5,False,STANDARD,0.9,0.4,0.4,True
ITEM-054,CAT-04,Coffee-Crusted Prime Ribeye (14oz),DineIQ signature coffee-crusted prime ribeye (14oz) crafted with premium ingredients.,52.0,23.0,55.77,False,True,False,19,5,False,STANDARD,1.1,0.4,0.4,True
ITEM-055,CAT-04,Steakhouse Flat Iron Chimichurri,DineIQ signature steakhouse flat iron chimichurri crafted with premium ingredients.,26.5,13.2,50.19,False,True,False,14,5,False,PRICE_SENSITIVE,1.9,0.35,0.7,True
ITEM-056,CAT-04,Pan-Roasted Duck Breast Plum Glaze,DineIQ signature pan-roasted duck breast plum glaze crafted with premium ingredients.,35.0,14.0,60.0,False,True,False,16,4,False,STANDARD,0.7,0.55,0.4,True
ITEM-057,CAT-04,Roasted Veal Chop Chanterelles,DineIQ signature roasted veal chop chanterelles crafted with premium ingredients.,49.0,22.0,55.1,False,True,False,20,4,False,PROFITABLE_LOW_SELLING,0.25,0.45,0.32,True
ITEM-058,CAT-04,BBQ Glazed St. Louis Ribs (Full),DineIQ signature bbq glazed st. louis ribs (full) crafted with premium ingredients.,31.0,14.0,54.84,False,True,False,15,6,False,STANDARD,1.7,0.3,0.5,True
ITEM-059,CAT-04,Bistro Hanger Steak Shallot Jus,DineIQ signature bistro hanger steak shallot jus crafted with premium ingredients.,28.0,13.5,51.79,False,True,False,15,5,False,STANDARD,1.3,0.35,0.55,True
ITEM-060,CAT-04,Pepper-Crusted Bison Tenderloin,DineIQ signature pepper-crusted bison tenderloin crafted with premium ingredients.,58.0,25.0,56.9,False,True,False,18,4,False,PROFITABLE_LOW_SELLING,0.22,0.42,0.35,True
ITEM-061,CAT-05,Pan-Seared Chilean Sea Bass,DineIQ signature pan-seared chilean sea bass crafted with premium ingredients.,46.0,18.5,59.78,False,True,False,18,3,False,PROFITABLE_LOW_SELLING,0.6,0.75,0.4,True
ITEM-062,CAT-05,Crispy Skin Mediterranean Branzino,DineIQ signature crispy skin mediterranean branzino crafted with premium ingredients.,38.0,16.0,57.89,False,True,False,17,2,False,HIGH_WASTAGE,0.7,0.88,0.45,True
ITEM-063,CAT-05,Wild King Salmon Lemon Herb,DineIQ signature wild king salmon lemon herb crafted with premium ingredients.,34.0,16.2,52.35,False,True,False,15,3,False,STANDARD,1.8,0.65,0.48,True
ITEM-064,CAT-05,Butter Poached Maine Lobster Tail,DineIQ signature butter poached maine lobster tail crafted with premium ingredients.,52.0,23.5,54.81,False,True,False,14,2,False,HIGH_WASTAGE,0.45,0.92,0.38,True
ITEM-065,CAT-05,Jumbo Lump Crab Cakes (2pcs),DineIQ signature jumbo lump crab cakes (2pcs) crafted with premium ingredients.,32.0,15.0,53.12,False,False,False,12,3,False,HIGH_WASTAGE,1.0,0.82,0.5,True
ITEM-066,CAT-05,Seared Diver Scallops Sweet Corn,DineIQ signature seared diver scallops sweet corn crafted with premium ingredients.,36.0,16.8,53.33,False,True,False,12,2,False,HIGH_WASTAGE,0.8,0.9,0.45,True
ITEM-067,CAT-05,Seafood Paella Valenciana,DineIQ signature seafood paella valenciana crafted with premium ingredients.,35.0,16.0,54.29,False,True,False,22,2,False,HIGH_WASTAGE,1.1,0.85,0.52,True
ITEM-068,CAT-05,Classic Fish & Chips Tartar,DineIQ signature classic fish & chips tartar crafted with premium ingredients.,19.99,14.5,27.46,False,False,False,12,4,False,POPULAR_LOW_MARGIN,2.9,0.3,0.68,True
ITEM-069,CAT-05,Grilled Yellowfin Ahi Tuna Steak,DineIQ signature grilled yellowfin ahi tuna steak crafted with premium ingredients.,33.0,14.8,55.15,False,True,False,12,2,False,HIGH_WASTAGE,0.9,0.85,0.46,True
ITEM-070,CAT-05,Garlic Butter Tiger Prawns Skewer,DineIQ signature garlic butter tiger prawns skewer crafted with premium ingredients.,27.0,11.5,57.41,False,True,False,11,3,False,STANDARD,1.5,0.5,0.5,True
ITEM-071,CAT-05,Steamed Blue Mussels White Wine,DineIQ signature steamed blue mussels white wine crafted with premium ingredients.,22.0,9.5,56.82,False,True,False,12,2,False,HIGH_WASTAGE,1.1,0.88,0.52,True
ITEM-072,CAT-05,Whole Grilled Red Snapper Mojo,DineIQ signature whole grilled red snapper mojo crafted with premium ingredients.,42.0,17.5,58.33,False,True,False,20,2,False,HIGH_WASTAGE,0.4,0.86,0.4,True
ITEM-073,CAT-05,Pacific Black Cod Miso Glaze,DineIQ signature pacific black cod miso glaze crafted with premium ingredients.,44.0,18.0,59.09,False,True,False,16,3,False,PROFITABLE_LOW_SELLING,0.5,0.7,0.38,True
ITEM-074,CAT-05,Fried Softshell Crab Basket,DineIQ signature fried softshell crab basket crafted with premium ingredients.,26.0,12.0,53.85,False,False,False,11,2,False,HIGH_WASTAGE,0.7,0.84,0.5,True
ITEM-075,CAT-05,Seafood Bouillabaisse Saffron Rouille,DineIQ signature seafood bouillabaisse saffron rouille crafted with premium ingredients.,37.0,16.5,55.41,False,True,False,18,2,False,HIGH_WASTAGE,0.6,0.89,0.45,True
ITEM-076,CAT-06,DineIQ Signature Caesar Salad,DineIQ signature dineiq signature caesar salad crafted with premium ingredients.,12.99,8.8,32.26,False,False,False,6,4,False,POPULAR_LOW_MARGIN,3.2,0.35,0.68,True
ITEM-077,CAT-06,Mediterranean Quinoa Crunch Bowl,DineIQ signature mediterranean quinoa crunch bowl crafted with premium ingredients.,14.5,5.2,64.14,True,True,False,7,4,False,STANDARD,2.2,0.4,0.55,True
ITEM-078,CAT-06,Burrata Caprese Heirloom Salad,DineIQ signature burrata caprese heirloom salad crafted with premium ingredients.,16.5,7.8,52.73,True,True,False,6,3,False,HIGH_WASTAGE,1.3,0.78,0.5,True
ITEM-079,CAT-06,Strawberry Gorgonzola Pecan Salad,DineIQ signature strawberry gorgonzola pecan salad crafted with premium ingredients.,14.0,5.0,64.29,True,True,False,6,3,False,STANDARD,1.6,0.6,0.55,True
ITEM-080,CAT-06,Roasted Beet & Goat Cheese Bowl,DineIQ signature roasted beet & goat cheese bowl crafted with premium ingredients.,15.0,5.4,64.0,True,True,False,7,5,False,STANDARD,1.4,0.45,0.48,True
ITEM-081,CAT-06,Thai Crunch Peanut Chicken Salad,DineIQ signature thai crunch peanut chicken salad crafted with premium ingredients.,16.0,6.2,61.25,False,True,False,8,4,False,STANDARD,1.9,0.45,0.52,True
ITEM-082,CAT-06,Wild Rice & Avocado Harvest Bowl,DineIQ signature wild rice & avocado harvest bowl crafted with premium ingredients.,15.5,7.5,51.61,True,True,False,8,2,False,HIGH_WASTAGE,1.5,0.85,0.55,True
ITEM-083,CAT-06,Classic Greek Village Salad,DineIQ signature classic greek village salad crafted with premium ingredients.,13.5,4.8,64.44,True,True,False,6,4,False,PRICE_SENSITIVE,2.1,0.4,0.72,True
ITEM-084,CAT-06,Kale Tahini Caesar Roasted Chickpeas,DineIQ signature kale tahini caesar roasted chickpeas crafted with premium ingredients.,13.99,4.9,64.97,True,True,False,7,5,False,STANDARD,1.5,0.35,0.55,True
ITEM-085,CAT-06,Blackened Salmon Cobb Salad,DineIQ signature blackened salmon cobb salad crafted with premium ingredients.,21.0,9.8,53.33,False,True,False,9,3,False,STANDARD,1.7,0.55,0.5,True
ITEM-086,CAT-06,Sesame Ahi Tuna Poke Bowl,DineIQ signature sesame ahi tuna poke bowl crafted with premium ingredients.,19.5,10.2,47.69,False,True,False,8,2,False,HIGH_WASTAGE,1.8,0.88,0.58,True
ITEM-087,CAT-06,Green Goddess Farro Bowl,DineIQ signature green goddess farro bowl crafted with premium ingredients.,14.5,4.8,66.9,True,False,False,7,5,False,STANDARD,1.2,0.35,0.5,True
ITEM-088,CAT-06,Simple Garden House Salad,DineIQ signature simple garden house salad crafted with premium ingredients.,8.99,3.2,64.4,True,True,False,5,4,False,PRICE_SENSITIVE,2.6,0.35,0.85,True
ITEM-089,CAT-06,Southwest Chipotle Chicken Bowl,DineIQ signature southwest chipotle chicken bowl crafted with premium ingredients.,15.5,5.8,62.58,False,True,False,8,4,False,STANDARD,2.3,0.35,0.6,True
ITEM-090,CAT-06,Warm Roasted Butternut Squash Bowl,DineIQ signature warm roasted butternut squash bowl crafted with premium ingredients.,14.0,4.5,67.86,True,True,False,9,6,True,STANDARD,0.9,0.4,0.45,True
ITEM-091,CAT-07,Beyond Meat Gourmet Burger,DineIQ signature beyond meat gourmet burger crafted with premium ingredients.,16.99,11.5,32.31,True,False,False,11,7,False,POPULAR_LOW_MARGIN,2.2,0.25,0.6,True
ITEM-092,CAT-07,Truffle Wild Mushroom Risotto,DineIQ signature truffle wild mushroom risotto crafted with premium ingredients.,23.0,7.2,68.7,True,True,False,16,5,False,STANDARD,1.5,0.4,0.48,True
ITEM-093,CAT-07,Crispy Cauliflower Buffalo Bites,DineIQ signature crispy cauliflower buffalo bites crafted with premium ingredients.,12.0,4.2,65.0,True,True,False,9,5,False,STANDARD,2.0,0.3,0.55,True
ITEM-094,CAT-07,Creamy Cashew Alfredo Tagliatelle,DineIQ signature creamy cashew alfredo tagliatelle crafted with premium ingredients.,19.0,5.8,69.47,True,False,False,12,5,False,STANDARD,1.4,0.35,0.5,True
ITEM-095,CAT-07,Spicy Tofu Peanut Noodle Bowl,DineIQ signature spicy tofu peanut noodle bowl crafted with premium ingredients.,16.5,4.9,70.3,True,False,False,10,5,False,STANDARD,1.7,0.35,0.52,True
ITEM-096,CAT-07,Roasted Eggplant Harissa Shakshuka,DineIQ signature roasted eggplant harissa shakshuka crafted with premium ingredients.,15.0,4.5,70.0,True,True,False,13,4,False,STANDARD,1.1,0.4,0.48,True
ITEM-097,CAT-07,Jackfruit Smoky Carnitas Tacos,DineIQ signature jackfruit smoky carnitas tacos crafted with premium ingredients.,15.5,5.1,67.1,True,True,False,9,5,False,STANDARD,1.6,0.35,0.54,True
ITEM-098,CAT-07,Avocado Supergreen Toast Sourdough,DineIQ signature avocado supergreen toast sourdough crafted with premium ingredients.,13.5,6.8,49.63,True,False,False,7,2,False,HIGH_WASTAGE,1.9,0.85,0.6,True
ITEM-099,CAT-07,Lentil Shepherd's Pie Sweet Potato,DineIQ signature lentil shepherd's pie sweet potato crafted with premium ingredients.,17.5,5.2,70.29,True,True,False,15,6,False,STANDARD,1.0,0.3,0.45,True
ITEM-100,CAT-07,Crispy Falafel Mezze Platter,DineIQ signature crispy falafel mezze platter crafted with premium ingredients.,16.0,5.0,68.75,True,False,False,10,6,False,STANDARD,1.8,0.35,0.52,True
ITEM-101,CAT-07,Thai Coconut Green Curry Tofu,DineIQ signature thai coconut green curry tofu crafted with premium ingredients.,18.0,5.5,69.44,True,True,False,12,5,False,STANDARD,1.6,0.4,0.5,True
ITEM-102,CAT-07,Mushroom & Walnut Bolognese,DineIQ signature mushroom & walnut bolognese crafted with premium ingredients.,18.5,5.6,69.73,True,False,False,12,5,False,STANDARD,1.3,0.35,0.5,True
ITEM-103,CAT-07,Korean Gochujang Crispy Tofu,DineIQ signature korean gochujang crispy tofu crafted with premium ingredients.,14.5,4.4,69.66,True,True,False,10,6,False,STANDARD,1.4,0.3,0.55,True
ITEM-104,CAT-07,Golden Turmeric Lentil Soup Bowl,DineIQ signature golden turmeric lentil soup bowl crafted with premium ingredients.,9.99,2.8,71.97,True,True,False,6,7,False,PRICE_SENSITIVE,2.0,0.25,0.78,True
ITEM-105,CAT-07,Artisanal Vegan Charcuterie Board,DineIQ signature artisanal vegan charcuterie board crafted with premium ingredients.,26.0,8.5,67.31,True,False,False,8,8,False,PROFITABLE_LOW_SELLING,0.4,0.4,0.35,True
ITEM-106,CAT-08,Molten Chocolate Lava Cake,DineIQ signature molten chocolate lava cake crafted with premium ingredients.,10.99,7.8,29.03,True,False,False,12,7,False,POPULAR_LOW_MARGIN,3.3,0.25,0.55,True
ITEM-107,CAT-08,Classic Madagascar Vanilla Bean Gelato,DineIQ signature classic madagascar vanilla bean gelato crafted with premium ingredients.,7.5,1.8,76.0,True,True,False,3,30,False,PRICE_SENSITIVE,2.8,0.15,0.7,True
ITEM-108,CAT-08,New York Style Cheesecake,DineIQ signature new york style cheesecake crafted with premium ingredients.,9.99,6.9,30.93,True,False,False,4,6,False,POPULAR_LOW_MARGIN,2.9,0.3,0.6,True
ITEM-109,CAT-08,Warm Apple Cinnamon Crisp,DineIQ signature warm apple cinnamon crisp crafted with premium ingredients.,9.5,2.8,70.53,True,False,False,10,5,True,STANDARD,1.8,0.35,0.55,True
ITEM-110,CAT-08,Fresh Wild Berry Pavlova,DineIQ signature fresh wild berry pavlova crafted with premium ingredients.,13.5,5.8,57.04,True,True,False,8,1,False,HIGH_WASTAGE,0.9,0.92,0.5,True
ITEM-111,CAT-08,Traditional Italian Tiramisu,DineIQ signature traditional italian tiramisu crafted with premium ingredients.,10.5,3.2,69.52,True,False,False,4,4,False,STANDARD,2.4,0.4,0.55,True
ITEM-112,CAT-08,Salted Caramel Creme Brulee,DineIQ signature salted caramel creme brulee crafted with premium ingredients.,11.0,3.1,71.82,True,True,False,7,4,False,STANDARD,2.1,0.45,0.5,True
ITEM-113,CAT-08,Vintage Champagne Berry Float,DineIQ signature vintage champagne berry float crafted with premium ingredients.,24.0,5.5,77.08,True,True,True,5,3,False,PROFITABLE_LOW_SELLING,0.25,0.5,0.3,True
ITEM-114,CAT-08,Warm Churros with Spiced Dulce,DineIQ signature warm churros with spiced dulce crafted with premium ingredients.,9.0,2.4,73.33,True,False,False,8,4,False,STANDARD,2.2,0.25,0.6,True
ITEM-115,CAT-08,Pecan Pie Bourbon Whipped Cream,DineIQ signature pecan pie bourbon whipped cream crafted with premium ingredients.,10.0,3.0,70.0,True,False,False,5,7,True,STANDARD,1.2,0.3,0.5,True
ITEM-116,CAT-08,Key Lime Tart Graham Crust,DineIQ signature key lime tart graham crust crafted with premium ingredients.,9.5,2.7,71.58,True,False,False,5,5,False,STANDARD,1.6,0.4,0.55,True
ITEM-117,CAT-08,Artisanal Macaron Assortment (6pcs),DineIQ signature artisanal macaron assortment (6pcs) crafted with premium ingredients.,15.0,4.2,72.0,True,True,False,4,10,False,STANDARD,1.4,0.35,0.45,True
ITEM-118,CAT-08,Dark Chocolate Souffle Grand Marnier,DineIQ signature dark chocolate souffle grand marnier crafted with premium ingredients.,16.5,4.0,75.76,True,False,True,18,2,False,PROFITABLE_LOW_SELLING,0.35,0.6,0.35,True
ITEM-119,CAT-08,Matcha Green Tea Crepe Cake,DineIQ signature matcha green tea crepe cake crafted with premium ingredients.,11.5,3.2,72.17,True,False,False,5,3,False,HIGH_WASTAGE,1.0,0.8,0.5,True
ITEM-120,CAT-08,Affogato al Caffe Espresso Scoop,DineIQ signature affogato al caffe espresso scoop crafted with premium ingredients.,6.99,1.5,78.54,True,True,False,3,20,False,PRICE_SENSITIVE,2.3,0.15,0.75,True
ITEM-121,CAT-09,DineIQ House Draft Lager (Pint),DineIQ signature dineiq house draft lager (pint) crafted with premium ingredients.,6.5,4.8,26.15,True,False,True,2,60,False,POPULAR_LOW_MARGIN,3.6,0.1,0.85,True
ITEM-122,CAT-09,Signature Smoked Old Fashioned,DineIQ signature signature smoked old fashioned crafted with premium ingredients.,16.0,3.2,80.0,True,True,True,4,365,False,STANDARD,2.5,0.1,0.45,True
ITEM-123,CAT-09,Spicy Passionfruit Mezcalita,DineIQ signature spicy passionfruit mezcalita crafted with premium ingredients.,15.5,3.1,80.0,True,True,True,4,60,False,STANDARD,2.2,0.15,0.5,True
ITEM-124,CAT-09,Elderflower French 75 Champagne,DineIQ signature elderflower french 75 champagne crafted with premium ingredients.,17.0,3.6,78.82,True,True,True,4,180,False,STANDARD,1.8,0.15,0.42,True
ITEM-125,CAT-09,Black Truffle Infused Manhattan,DineIQ signature black truffle infused manhattan crafted with premium ingredients.,28.0,4.5,83.93,True,True,True,5,180,False,PROFITABLE_LOW_SELLING,0.3,0.1,0.3,True
ITEM-126,CAT-09,Espresso Martini Vanilla Foam,DineIQ signature espresso martini vanilla foam crafted with premium ingredients.,15.0,2.9,80.67,True,True,True,4,30,False,STANDARD,2.6,0.2,0.5,True
