recommendation_type,primary_item,recommended_item,category_pair,support,confidence,lift,commercial_rationale
Cross-Sell Opportunity,Strawberry Gorgonzola Pecan Salad,Double Espresso Single Origin,Farm-Fresh Salads & Grain Bowls -> Specialty Coffee & Beverages,0.0078,0.127,1.0815,Prompt: 'Add Double Espresso Single Origin for the perfect pairing!' (Confidence: 12.7%).
Cross-Sell Opportunity,Pecan Pie Bourbon Whipped Cream,Nitro Cold Brew Sweet Cream,Handcrafted Desserts & Pastries -> Specialty Coffee & Beverages,0.0056,0.121,1.0812,Prompt: 'Add Nitro Cold Brew Sweet Cream for the perfect pairing!' (Confidence: 12.1%).
Cross-Sell Opportunity,Burrata Caprese Pizza,Crispy Parmesan Truffle Fries,Wood-Fired Pizzas & Pastas -> Appetizers & Small Plates,0.0073,0.1376,1.0762,Prompt: 'Add Crispy Parmesan Truffle Fries for the perfect pairing!' (Confidence: 13.8%).
Upsell Combination,Slow-Braised Beef Short Ribs,Crispy Parmesan Truffle Fries,Prime Steaks & Butcher Cuts -> Appetizers & Small Plates,0.0085,0.1406,1.1001,Upgrade ticket size by pairing core entree with premium Appetizers & Small Plates (Crispy Parmesan Truffle Fries).
Upsell Combination,Kale Tahini Caesar Roasted Chickpeas,Garlic Herb Breadsticks,Farm-Fresh Salads & Grain Bowls -> Appetizers & Small Plates,0.007,0.1218,1.0975,Upgrade ticket size by pairing core entree with premium Appetizers & Small Plates (Garlic Herb Breadsticks).
Upsell Combination,Seafood Paella Valenciana,Classic Buffalo Chicken Wings,Chef Specials & Seafood -> Appetizers & Small Plates,0.0056,0.132,1.0964,Upgrade ticket size by pairing core entree with premium Appetizers & Small Plates (Classic Buffalo Chicken Wings).
Upsell Combination,Korean Gochujang Crispy Tofu,Golden Mozzarella Sticks,Vegan & Plant-Based Creations -> Appetizers & Small Plates,0.0062,0.116,1.0918,Upgrade ticket size by pairing core entree with premium Appetizers & Small Plates (Golden Mozzarella Sticks).
Upsell Combination,Thai Crunch Peanut Chicken Salad,Crispy Calamari Fritti,Farm-Fresh Salads & Grain Bowls -> Appetizers & Small Plates,0.0059,0.0837,1.0883,Upgrade ticket size by pairing core entree with premium Appetizers & Small Plates (Crispy Calamari Fritti).
Upsell Combination,Zero-Proof Cucumber Mint Cooler,Loaded Queso Nachos,Signature Cocktails & Mocktails -> Appetizers & Small Plates,0.0077,0.0972,1.0796,Upgrade ticket size by pairing core entree with premium Appetizers & Small Plates (Loaded Queso Nachos).
Upsell Combination,Classic Fish & Chips Tartar,Heirloom Tomato Bruschetta,Chef Specials & Seafood -> Appetizers & Small Plates,0.0095,0.0876,1.0715,Upgrade ticket size by pairing core entree with premium Appetizers & Small Plates (Heirloom Tomato Bruschetta).
