rating_id,order_id,customer_id,item_id,location_id,overall_rating,food_rating,service_rating,ambiance_rating,review_text,review_date,anomaly_tag
RAT-000032,ORD-065726,CUST-43243,ITEM-001,LOC-012,3,3,3,4,Okay experience. Good location but food was slightly under-seasoned.,2025-10-03,STANDARD_NEUTRAL
RAT-000033,ORD-084655,CUST-25476,ITEM-131,LOC-018,1,1,1,2,"Rude staff, unclean tables, and subpar taste. Not coming back.",2025-12-28,CANCELLED_ORDER_COMPLAINT
RAT-000034,ORD-035774,CUST-22943,ITEM-135,LOC-004,2,3,2,3,Terrible customer service. Waited 45 minutes for our drinks to arrive.,2025-02-10,STANDARD_NEGATIVE
RAT-000035,ORD-067436,CUST-23784,ITEM-116,LOC-004,5,4,5,5,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-01-27,STANDARD_POSITIVE
RAT-000036,ORD-056887,CUST-09221,ITEM-080,LOC-008,5,4,4,4,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-04-24,STANDARD_POSITIVE
RAT-000037,ORD-066804,CUST-48089,ITEM-046,LOC-007,5,5,5,5,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-11-30,STANDARD_POSITIVE
RAT-000038,ORD-031552,CUST-03176,ITEM-009,LOC-019,4,4,4,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-03-14,STANDARD_POSITIVE
RAT-000039,ORD-011395,CUST-24747,ITEM-078,LOC-017,2,1,1,1,Horrible experience from start to finish. Zero stars if I could.,2025-10-31,STANDARD_NEGATIVE
RAT-000040,ORD-069093,CUST-42958,ITEM-036,LOC-001,5,5,5,5,Outstanding culinary creativity. Highly recommend to everyone in town.,2025-07-26,STANDARD_POSITIVE
RAT-000041,ORD-003891,CUST-21756,ITEM-081,LOC-004,4,3,4,5,The meal was completely cold and order was missing two items!,2025-10-18,ANOMALY_SENTIMENT_MISMATCH_CONTRADICTORY
RAT-000042,ORD-041607,CUST-28242,ITEM-119,LOC-002,2,3,2,3,Dish tasted stale and unseasoned. Expected much better for the price.,2025-11-09,STANDARD_NEGATIVE
RAT-000043,ORD-096277,CUST-45116,ITEM-136,LOC-005,4,5,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-10-05,STANDARD_POSITIVE
RAT-000044,ORD-080039,CUST-33601,ITEM-150,LOC-011,1,1,1,1,The meal was completely cold and order was missing two items!,2025-09-04,STANDARD_NEGATIVE
RAT-000045,ORD-087314,CUST-19942,ITEM-119,LOC-015,1,1,1,2,Horrible experience from start to finish. Zero stars if I could.,2025-09-28,CANCELLED_ORDER_COMPLAINT
RAT-000046,ORD-010628,CUST-06425,ITEM-106,LOC-018,5,5,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-07-29,STANDARD_POSITIVE
RAT-000047,ORD-008793,CUST-28367,ITEM-038,LOC-014,3,2,3,4,Portions were generous but flavors were fairly standard.,2025-03-09,STANDARD_NEUTRAL
RAT-000048,ORD-073970,CUST-05747,ITEM-146,LOC-001,5,4,4,5,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-12-03,STANDARD_POSITIVE
RAT-000049,ORD-043002,CUST-26081,ITEM-083,LOC-005,4,4,4,4,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-03-22,STANDARD_POSITIVE
RAT-000050,ORD-076553,CUST-33271,ITEM-024,LOC-016,4,4,5,4,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-01-04,STANDARD_POSITIVE
RAT-000051,ORD-023898,CUST-22741,ITEM-004,LOC-010,0,1,1,2,"Advertising says free item, but they required spending $80 first. Ridiculous!",2025-09-10,ANOMALY_MISLEADING_PROMO_BACKLASH
RAT-000052,ORD-068149,CUST-25057,ITEM-095,LOC-005,0,1,1,2,Extremely disappointed. Food arrived lukewarm and fries were soggy.,2025-11-21,CANCELLED_ORDER_COMPLAINT
RAT-000053,ORD-023484,CUST-23403,ITEM-128,LOC-012,0,4,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-12-11,STANDARD_POSITIVE
RAT-000054,ORD-048556,CUST-09747,ITEM-114,LOC-005,0,1,1,3,Coupon refused at checkout even though the email said valid all month.,2025-01-06,ANOMALY_MISLEADING_PROMO_BACKLASH
RAT-000055,ORD-017160,CUST-45952,ITEM-064,LOC-001,0,2,3,2,Okay experience. Good location but food was slightly under-seasoned.,2025-05-10,STANDARD_NEUTRAL
RAT-000056,ORD-080078,CUST-44984,ITEM-088,LOC-009,0,4,4,5,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-06-10,STANDARD_POSITIVE
RAT-000057,ORD-035921,CUST-49232,ITEM-130,LOC-017,0,5,5,5,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-04-03,STANDARD_POSITIVE
RAT-000058,ORD-092068,CUST-39048,ITEM-055,LOC-014,0,4,5,5,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-04-13,STANDARD_POSITIVE
RAT-000059,ORD-067122,CUST-39410,ITEM-059,LOC-010,0,5,5,5,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-12-15,STANDARD_POSITIVE
RAT-000060,ORD-069480,CUST-29366,ITEM-125,LOC-010,0,3,3,3,Incredible taste and immaculate vibe. Five stars all the way!,2025-04-06,STANDARD_POSITIVE
RAT-000061,ORD-089476,CUST-45390,ITEM-031,LOC-002,0,4,5,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-07-05,STANDARD_POSITIVE
RAT-000062,ORD-019458,CUST-43041,ITEM-139,LOC-017,0,2,1,2,Terrible customer service. Waited 45 minutes for our drinks to arrive.,2025-01-14,STANDARD_NEGATIVE
RAT-000063,ORD-066558,CUST-25254,ITEM-112,LOC-017,0,1,1,2,Extremely disappointed. Food arrived lukewarm and fries were soggy.,2025-04-18,CANCELLED_ORDER_COMPLAINT
RAT-000064,ORD-077190,CUST-11148,ITEM-096,LOC-010,0,4,3,3,Okay experience. Good location but food was slightly under-seasoned.,2025-10-25,STANDARD_NEUTRAL
RAT-000065,ORD-078954,CUST-06924,ITEM-002,LOC-004,0,1,1,1,The meal was completely cold and order was missing two items!,2025-07-13,STANDARD_NEGATIVE
RAT-000066,ORD-052996,CUST-29918,ITEM-004,LOC-010,0,4,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-11-30,STANDARD_POSITIVE
RAT-000067,ORD-040758,CUST-48705,ITEM-107,LOC-001,0,3,5,4,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-04-12,STANDARD_POSITIVE
RAT-000068,ORD-009693,CUST-46695,ITEM-028,LOC-019,0,3,3,3,Okay experience. Good location but food was slightly under-seasoned.,2025-06-15,STANDARD_NEUTRAL
RAT-000069,ORD-045759,,ITEM-033,LOC-016,0,5,5,4,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-05-31,STANDARD_POSITIVE
RAT-000070,ORD-072410,CUST-45876,ITEM-136,LOC-014,0,5,4,3,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-10-05,STANDARD_POSITIVE
RAT-000071,ORD-071212,CUST-23680,ITEM-019,LOC-002,0,2,1,2,Felt scammed by the advertised 50% discount! Fine print required $120 order.,2025-07-24,ANOMALY_MISLEADING_PROMO_BACKLASH
RAT-000072,ORD-065698,CUST-17881,ITEM-011,LOC-019,0,5,4,4,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-03-16,STANDARD_POSITIVE
RAT-000073,ORD-037066,CUST-42006,ITEM-041,LOC-009,0,5,4,4,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-11-22,STANDARD_POSITIVE
RAT-000074,ORD-092094,CUST-12562,ITEM-002,LOC-013,0,3,3,4,Standard fare for this price point. Fast turnaround for lunch.,2025-09-20,STANDARD_NEUTRAL
RAT-000075,ORD-099300,CUST-08631,ITEM-028,LOC-011,0,5,4,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-06-27,STANDARD_POSITIVE
RAT-000076,ORD-032607,CUST-30115,ITEM-114,LOC-020,6,2,3,2,Terrible customer service. Waited 45 minutes for our drinks to arrive.,2025-09-29,STANDARD_NEGATIVE
RAT-000077,ORD-011535,CUST-33125,ITEM-019,LOC-001,6,5,5,5,Outstanding culinary creativity. Highly recommend to everyone in town.,2025-06-14,STANDARD_POSITIVE
RAT-000078,ORD-094664,CUST-02193,ITEM-121,LOC-004,6,5,5,5,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-09-23,STANDARD_POSITIVE
RAT-000079,ORD-040398,CUST-49546,ITEM-076,LOC-012,6,3,4,4,Okay experience. Good location but food was slightly under-seasoned.,2025-09-13,STANDARD_NEUTRAL
RAT-000080,ORD-091388,CUST-19872,ITEM-001,LOC-003,6,1,1,2,Coupon refused at checkout even though the email said valid all month.,2025-11-04,ANOMALY_MISLEADING_PROMO_BACKLASH
RAT-000081,ORD-001017,CUST-48047,ITEM-088,LOC-012,6,1,1,1,Terrible customer service. Waited 45 minutes for our drinks to arrive.,2025-03-24,STANDARD_NEGATIVE
RAT-000082,ORD-089790,CUST-02789,ITEM-138,LOC-014,6,5,4,4,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-05-18,STANDARD_POSITIVE
RAT-000083,ORD-055592,CUST-26634,ITEM-050,LOC-014,6,4,5,5,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-03-01,STANDARD_POSITIVE
RAT-000084,ORD-089813,CUST-28156,ITEM-019,LOC-018,6,5,5,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-11-29,STANDARD_POSITIVE
RAT-000085,ORD-023248,,ITEM-141,LOC-015,6,1,1,2,Extremely disappointed. Food arrived lukewarm and fries were soggy.,2025-07-13,CANCELLED_ORDER_COMPLAINT
RAT-000086,ORD-024301,CUST-33118,ITEM-020,LOC-016,6,5,5,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-12-25,STANDARD_POSITIVE
RAT-000087,ORD-074066,CUST-21216,ITEM-022,LOC-011,6,1,1,2,The meal was completely cold and order was missing two items!,2025-07-31,CANCELLED_ORDER_COMPLAINT
RAT-000088,ORD-082799,CUST-21893,ITEM-123,LOC-017,6,2,1,3,The meal was completely cold and order was missing two items!,2025-08-17,STANDARD_NEGATIVE
RAT-000089,ORD-009269,CUST-49766,ITEM-018,LOC-016,6,4,5,5,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-03-12,STANDARD_POSITIVE
RAT-000090,ORD-086808,CUST-45656,ITEM-129,LOC-012,6,2,3,3,Terrible customer service. Waited 45 minutes for our drinks to arrive.,2025-02-01,STANDARD_NEGATIVE
RAT-000091,ORD-012186,CUST-19793,ITEM-016,LOC-003,6,5,5,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-10-04,STANDARD_POSITIVE
RAT-000092,ORD-063705,CUST-38728,ITEM-136,LOC-004,6,1,1,2,Overpriced and bland. The portions have shrunk noticeably.,2025-10-05,CANCELLED_ORDER_COMPLAINT
RAT-000093,ORD-086780,CUST-15703,ITEM-068,LOC-014,6,5,5,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-02-09,STANDARD_POSITIVE
RAT-000094,ORD-039100,CUST-20255,ITEM-108,LOC-017,6,4,4,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-04-03,STANDARD_POSITIVE
RAT-000095,ORD-008572,CUST-47715,ITEM-141,LOC-017,6,1,3,3,The meal was completely cold and order was missing two items!,2025-06-14,STANDARD_NEGATIVE
RAT-000096,ORD-038045,CUST-05539,ITEM-142,LOC-011,4,3,4,5,Outstanding culinary creativity. Highly recommend to everyone in town.,2025-04-16,STANDARD_POSITIVE
RAT-000097,ORD-051215,CUST-02378,ITEM-117,LOC-001,1,1,1,2,Dish tasted stale and unseasoned. Expected much better for the price.,2025-05-12,CANCELLED_ORDER_COMPLAINT
RAT-000098,ORD-061229,CUST-22411,ITEM-126,LOC-018,4,5,5,3,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-08-15,STANDARD_POSITIVE
RAT-000099,ORD-048985,CUST-46367,ITEM-092,LOC-008,1,1,1,2,Horrible experience from start to finish. Zero stars if I could.,2025-09-01,CANCELLED_ORDER_COMPLAINT
RAT-000100,ORD-040775,CUST-44798,ITEM-094,LOC-009,5,5,5,5,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-08-14,STANDARD_POSITIVE
RAT-000101,ORD-002569,CUST-04115,ITEM-150,LOC-012,5,5,5,5,Outstanding culinary creativity. Highly recommend to everyone in town.,2025-11-06,STANDARD_POSITIVE
RAT-000102,ORD-062593,CUST-04041,ITEM-079,LOC-004,5,5,4,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-09-05,STANDARD_POSITIVE
RAT-000103,ORD-067564,CUST-32764,ITEM-105,LOC-018,4,3,5,4,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-05-14,STANDARD_POSITIVE
RAT-000104,ORD-002696,CUST-28591,ITEM-143,LOC-017,2,2,3,2,Overpriced and bland. The portions have shrunk noticeably.,2025-07-26,STANDARD_NEGATIVE
RAT-000105,ORD-048191,CUST-17090,ITEM-036,LOC-012,5,5,5,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-11-22,STANDARD_POSITIVE
RAT-000106,ORD-005259,CUST-04292,ITEM-100,LOC-011,5,4,4,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-06-24,STANDARD_POSITIVE
RAT-000107,ORD-087539,,ITEM-020,LOC-011,1,1,1,2,Misleading promotion! The discount was capped at a tiny fraction of total.,2025-07-16,ANOMALY_MISLEADING_PROMO_BACKLASH
RAT-000108,ORD-039505,CUST-44850,ITEM-095,LOC-002,4,4,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-07-13,STANDARD_POSITIVE
RAT-000109,ORD-033160,CUST-35211,ITEM-112,LOC-008,5,5,5,5,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-12-08,STANDARD_POSITIVE
RAT-000110,ORD-013987,CUST-17838,ITEM-142,LOC-011,4,3,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-01-06,STANDARD_POSITIVE
RAT-000111,ORD-061859,CUST-22313,ITEM-070,LOC-018,4,5,5,4,Incredible taste and immaculate vibe. Five stars all the way!,2025-02-15,STANDARD_POSITIVE
RAT-000112,ORD-012667,CUST-48915,ITEM-080,LOC-006,4,4,3,4,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-11-14,STANDARD_POSITIVE
RAT-000113,ORD-038661,CUST-03759,ITEM-079,LOC-002,1,1,1,2,Extremely disappointed. Food arrived lukewarm and fries were soggy.,2025-12-06,STANDARD_NEGATIVE
RAT-000114,ORD-003562,CUST-38824,ITEM-022,LOC-013,2,2,1,3,Extremely disappointed. Food arrived lukewarm and fries were soggy.,2025-11-11,STANDARD_NEGATIVE
RAT-000115,ORD-026855,CUST-18615,ITEM-098,LOC-003,1,1,2,1,Dish tasted stale and unseasoned. Expected much better for the price.,2025-04-07,STANDARD_NEGATIVE
RAT-000116,ORD-064506,CUST-33472,ITEM-036,LOC-013,5,5,5,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-07-04,STANDARD_POSITIVE
RAT-000117,ORD-052252,CUST-30339,ITEM-054,LOC-008,4,4,4,4,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-03-15,STANDARD_POSITIVE
RAT-000118,ORD-022663,CUST-14975,ITEM-106,LOC-014,4,5,4,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-10-13,STANDARD_POSITIVE
RAT-000119,ORD-008393,CUST-35015,ITEM-049,LOC-016,5,5,4,5,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-12-21,STANDARD_POSITIVE
RAT-000120,ORD-030536,CUST-18220,ITEM-075,LOC-001,3,3,3,3,Portions were generous but flavors were fairly standard.,2025-01-13,STANDARD_NEUTRAL
RAT-000121,ORD-078604,CUST-36346,ITEM-034,LOC-013,4,4,3,4,Incredible taste and immaculate vibe. Five stars all the way!,2025-03-18,STANDARD_POSITIVE
RAT-000122,ORD-052257,CUST-17492,ITEM-144,LOC-006,5,5,5,5,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-09-23,STANDARD_POSITIVE
RAT-000123,ORD-089136,CUST-07434,ITEM-044,LOC-012,3,2,2,3,Okay experience. Good location but food was slightly under-seasoned.,2025-02-02,STANDARD_NEUTRAL
RAT-000124,ORD-035223,CUST-15612,ITEM-109,LOC-008,2,2,3,2,Dish tasted stale and unseasoned. Expected much better for the price.,2025-12-25,STANDARD_NEGATIVE
RAT-000125,ORD-077374,CUST-31524,ITEM-122,LOC-012,4,4,4,5,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-06-02,STANDARD_POSITIVE
RAT-000126,ORD-079576,CUST-24800,ITEM-045,LOC-008,3,2,3,3,Portions were generous but flavors were fairly standard.,2025-12-08,STANDARD_NEUTRAL
RAT-000127,ORD-096355,CUST-11358,ITEM-138,LOC-018,5,5,5,5,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-11-25,STANDARD_POSITIVE
RAT-000128,ORD-084652,CUST-10676,ITEM-109,LOC-006,5,5,4,5,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-03-17,STANDARD_POSITIVE
RAT-000129,ORD-063336,CUST-28360,ITEM-042,LOC-013,1,1,1,3,Felt scammed by the advertised 50% discount! Fine print required $120 order.,2025-03-11,ANOMALY_MISLEADING_PROMO_BACKLASH
RAT-000130,ORD-010966,CUST-15425,ITEM-124,LOC-006,5,5,5,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-03-21,STANDARD_POSITIVE
RAT-000131,ORD-024539,CUST-25148,ITEM-041,LOC-009,5,5,5,5,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-03-21,STANDARD_POSITIVE
RAT-000132,ORD-070593,CUST-48062,ITEM-128,LOC-005,5,5,5,4,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-11-10,STANDARD_POSITIVE
RAT-000133,ORD-098019,CUST-26989,ITEM-002,LOC-001,3,2,2,3,Portions were generous but flavors were fairly standard.,2025-02-07,STANDARD_NEUTRAL
RAT-000134,ORD-008111,CUST-24153,ITEM-149,LOC-020,5,4,5,4,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-07-21,STANDARD_POSITIVE
RAT-000135,ORD-079310,CUST-30474,ITEM-092,LOC-015,4,4,5,5,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-04-01,STANDARD_POSITIVE
RAT-000136,ORD-027267,CUST-37619,ITEM-116,LOC-008,5,5,5,4,Incredible taste and immaculate vibe. Five stars all the way!,2025-08-17,STANDARD_POSITIVE
RAT-000137,ORD-052993,CUST-47024,ITEM-027,LOC-019,5,5,5,5,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-01-02,STANDARD_POSITIVE
RAT-000138,ORD-082949,,ITEM-135,LOC-020,4,4,3,4,The meal was completely cold and order was missing two items!,2025-12-23,ANOMALY_SENTIMENT_MISMATCH_CONTRADICTORY
RAT-000139,ORD-098807,,ITEM-038,LOC-013,2,3,2,1,Dish tasted stale and unseasoned. Expected much better for the price.,2025-06-04,STANDARD_NEGATIVE
RAT-000140,ORD-006911,CUST-35139,ITEM-068,LOC-002,3,4,2,3,Portions were generous but flavors were fairly standard.,2025-06-23,STANDARD_NEUTRAL
RAT-000141,ORD-090983,CUST-22148,ITEM-123,LOC-018,4,4,5,3,Incredible taste and immaculate vibe. Five stars all the way!,2025-05-14,STANDARD_POSITIVE
RAT-000142,ORD-000207,CUST-10835,ITEM-010,LOC-006,5,5,5,4,Outstanding culinary creativity. Highly recommend to everyone in town.,2025-02-21,STANDARD_POSITIVE
RAT-000143,ORD-087055,CUST-02030,ITEM-141,LOC-009,5,5,5,4,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-05-16,STANDARD_POSITIVE
RAT-000144,ORD-087898,CUST-36204,ITEM-082,LOC-020,1,2,1,3,"Advertising says free item, but they required spending $80 first. Ridiculous!",2025-12-30,ANOMALY_MISLEADING_PROMO_BACKLASH
RAT-000145,ORD-023420,CUST-49252,ITEM-026,LOC-001,1,1,2,1,Extremely disappointed. Food arrived lukewarm and fries were soggy.,2025-08-08,STANDARD_NEGATIVE
RAT-000146,ORD-050637,CUST-36616,ITEM-033,LOC-015,4,4,3,4,Outstanding culinary creativity. Highly recommend to everyone in town.,2025-02-01,STANDARD_POSITIVE
RAT-000147,ORD-050016,CUST-27064,ITEM-085,LOC-001,4,5,5,4,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-10-16,STANDARD_POSITIVE
RAT-000148,ORD-054269,CUST-22496,ITEM-014,LOC-001,1,2,1,2,"Advertising says free item, but they required spending $80 first. Ridiculous!",2025-08-11,ANOMALY_MISLEADING_PROMO_BACKLASH
RAT-000149,ORD-087940,CUST-42461,ITEM-121,LOC-010,3,4,3,3,Okay experience. Good location but food was slightly under-seasoned.,2025-04-19,STANDARD_NEUTRAL
RAT-000150,ORD-018142,CUST-26392,ITEM-054,LOC-018,2,3,3,2,The meal was completely cold and order was missing two items!,2025-05-17,STANDARD_NEGATIVE
RAT-000151,ORD-080357,CUST-42203,ITEM-025,LOC-004,4,3,5,3,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-09-08,STANDARD_POSITIVE
RAT-000152,ORD-071911,CUST-22087,ITEM-011,LOC-002,5,5,4,5,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-11-16,STANDARD_POSITIVE
RAT-000153,ORD-056045,CUST-10000,ITEM-130,LOC-009,4,4,5,5,"Best meal we've had in months. Fast, courteous service and cozy ambiance.",2025-06-22,STANDARD_POSITIVE
RAT-000154,ORD-067215,CUST-45530,ITEM-109,LOC-012,4,4,4,5,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-06-28,STANDARD_POSITIVE
RAT-000155,ORD-033828,CUST-33152,ITEM-014,LOC-017,5,4,5,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-06-21,STANDARD_POSITIVE
