rating_id,order_id,customer_id,item_id,location_id,overall_rating,food_rating,service_rating,ambiance_rating,review_text,review_date,anomaly_tag,_quarantine_timestamp,_quarantine_rule_id,_quarantine_rule_name,_quarantine_reason
RAT-000070,ORD-072410,CUST-45876,ITEM-136,LOC-014,0,5,4,3,Remarkable quality! Fresh ingredients and beautifully plated presentation.,2025-10-05,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000071,ORD-071212,CUST-23680,ITEM-019,LOC-002,0,2,1,2,Felt scammed by the advertised 50% discount! Fine print required $120 order.,2025-07-24,ANOMALY_MISLEADING_PROMO_BACKLASH,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000072,ORD-065698,CUST-17881,ITEM-011,LOC-019,0,5,4,4,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-03-16,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000073,ORD-037066,CUST-42006,ITEM-041,LOC-009,0,5,4,4,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-11-22,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000074,ORD-092094,CUST-12562,ITEM-002,LOC-013,0,3,3,4,Standard fare for this price point. Fast turnaround for lunch.,2025-09-20,STANDARD_NEUTRAL,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000075,ORD-099300,CUST-08631,ITEM-028,LOC-011,0,5,4,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-06-27,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000076,ORD-032607,CUST-30115,ITEM-114,LOC-020,6,2,3,2,Terrible customer service. Waited 45 minutes for our drinks to arrive.,2025-09-29,STANDARD_NEGATIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000077,ORD-011535,CUST-33125,ITEM-019,LOC-001,6,5,5,5,Outstanding culinary creativity. Highly recommend to everyone in town.,2025-06-14,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000078,ORD-094664,CUST-02193,ITEM-121,LOC-004,6,5,5,5,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-09-23,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000079,ORD-040398,CUST-49546,ITEM-076,LOC-012,6,3,4,4,Okay experience. Good location but food was slightly under-seasoned.,2025-09-13,STANDARD_NEUTRAL,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000080,ORD-091388,CUST-19872,ITEM-001,LOC-003,6,1,1,2,Coupon refused at checkout even though the email said valid all month.,2025-11-04,ANOMALY_MISLEADING_PROMO_BACKLASH,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000081,ORD-001017,CUST-48047,ITEM-088,LOC-012,6,1,1,1,Terrible customer service. Waited 45 minutes for our drinks to arrive.,2025-03-24,STANDARD_NEGATIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000082,ORD-089790,CUST-02789,ITEM-138,LOC-014,6,5,4,4,Loved everything from the drinks to dessert. Will definitely be a regular!,2025-05-18,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000083,ORD-055592,CUST-26634,ITEM-050,LOC-014,6,4,5,5,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-03-01,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000084,ORD-089813,CUST-28156,ITEM-019,LOC-018,6,5,5,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-11-29,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000085,ORD-023248,,ITEM-141,LOC-015,6,1,1,2,Extremely disappointed. Food arrived lukewarm and fries were soggy.,2025-07-13,CANCELLED_ORDER_COMPLAINT,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000086,ORD-024301,CUST-33118,ITEM-020,LOC-016,6,5,5,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-12-25,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000087,ORD-074066,CUST-21216,ITEM-022,LOC-011,6,1,1,2,The meal was completely cold and order was missing two items!,2025-07-31,CANCELLED_ORDER_COMPLAINT,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000088,ORD-082799,CUST-21893,ITEM-123,LOC-017,6,2,1,3,The meal was completely cold and order was missing two items!,2025-08-17,STANDARD_NEGATIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000089,ORD-009269,CUST-49766,ITEM-018,LOC-016,6,4,5,5,"Great value, friendly waitstaff, and food arrived piping hot within 15 minutes.",2025-03-12,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000090,ORD-086808,CUST-45656,ITEM-129,LOC-012,6,2,3,3,Terrible customer service. Waited 45 minutes for our drinks to arrive.,2025-02-01,STANDARD_NEGATIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000091,ORD-012186,CUST-19793,ITEM-016,LOC-003,6,5,5,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-10-04,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000092,ORD-063705,CUST-38728,ITEM-136,LOC-004,6,1,1,2,Overpriced and bland. The portions have shrunk noticeably.,2025-10-05,CANCELLED_ORDER_COMPLAINT,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000093,ORD-086780,CUST-15703,ITEM-068,LOC-014,6,5,5,5,Absolutely stellar experience! The signature dishes were bursting with flavor.,2025-02-09,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000094,ORD-039100,CUST-20255,ITEM-108,LOC-017,6,4,4,5,Incredible taste and immaculate vibe. Five stars all the way!,2025-04-03,STANDARD_POSITIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
RAT-000095,ORD-008572,CUST-47715,ITEM-141,LOC-017,6,1,3,3,The meal was completely cold and order was missing two items!,2025-06-14,STANDARD_NEGATIVE,2026-09-26T11:22:08.184693,RULE-07,invalid ratings,Overall rating outside 1 to 5 Likert scale
